id,value
id_0,-8.493012
id_1,-27.643376
id_2,0.933544
id_3,-9.761039
id_4,37.310535
id_5,38.590525
id_6,-21.174210
id_7,6.304825
id_8,49.437581
id_9,-18.737497
id_10,4.765620
id_11,23.881334
id_12,35.319698
id_13,-21.858968
id_14,5.725187
id_15,23.806358
id_16,25.832680
id_17,46.980243
id_18,-14.026478
id_19,-16.873723
id_20,-14.395261
id_21,-8.627077
id_22,237.131472
id_23,7.931113
id_24,-12.418981
id_25,-17.480376
id_26,8.636886
id_27,30.936636
id_28,14.241300
id_29,-15.363887
id_30,-16.506588
id_31,8.442799
id_32,36.954318
id_33,12.831084
id_34,32.666587
id_35,0.658249
id_36,-24.290282
id_37,16.622356
id_38,-6.445252
id_39,-0.473035
id_40,-3.750452
id_41,-16.369019
id_42,5.522146
id_43,17.688715
id_44,52.764702
id_45,29.986450
id_46,29.599312
id_47,-32.604418
id_48,14.322055
id_49,51.965726
id_50,3.121884
id_51,16.162490
id_52,10.935685
id_53,7.440106
id_54,-20.280611
id_55,-9.450408
id_56,17.582793
id_57,-18.519190
id_58,5.920102
id_59,-31.877436
id_60,40.026440
id_61,41.395452
id_62,21.399564
id_63,-18.624798
id_64,7.105595
id_65,25.457177
id_66,48.613665
id_67,-14.056261
id_68,4.066700
id_69,-15.372543
id_70,-2.665198
id_71,19.311280
id_72,31.326052
id_73,-10.708238
id_74,27.344407
id_75,28.895326
id_76,14.955974
id_77,28.457911
id_78,39.084953
id_79,21.605979
id_80,49.914064
id_81,40.790492
id_82,-3.589397
id_83,37.663452
id_84,3.505305
id_85,-11.608653
id_86,-7.165283
id_87,70.824108
id_88,-3.278578
id_89,25.346102
id_90,1.015104
id_91,21.500229
id_92,32.859208
id_93,-23.172974
id_94,-10.925216
id_95,31.164609
id_96,-8.069711
id_97,-6.864127
id_98,-27.771230
id_99,26.437409
id_100,-12.090040
id_101,38.890153
id_102,-9.577038
id_103,25.804104
id_104,-3.472886
id_105,19.561588
id_106,-2.637520
id_107,21.883764
id_108,-19.632372
id_109,50.503378
id_110,-16.615389
id_111,23.557219
id_112,-2.863713
id_113,29.388809
id_114,28.857797
id_115,14.037331
id_116,28.672975
id_117,-0.040520
id_118,25.114276
id_119,31.946037
id_120,4.839687
id_121,36.931087
id_122,61.375229
id_123,7.894484
id_124,42.465602
id_125,-28.790189
id_126,7.072441
id_127,-7.754891
id_128,15.946549
id_129,22.011156
id_130,-22.626960
id_131,38.376404
id_132,-29.455831
id_133,-8.681556
id_134,-15.204602
id_135,-8.807095
id_136,30.979277
id_137,67.487856
id_138,-4.754213
id_139,29.704146
id_140,76.633988
id_141,-23.633368
id_142,13.668074
id_143,6.851845
id_144,44.103137
id_145,-28.267509
id_146,18.043419
id_147,43.616402
id_148,-14.938115
id_149,-27.166393
id_150,8.333973
id_151,-15.963627
id_152,27.720291
id_153,-5.834385
id_154,16.916439
id_155,30.960390
id_156,-10.000646
id_157,-16.138778
id_158,22.561541
id_159,-6.732102
id_160,-22.101909
id_161,37.743390
id_162,29.623405
id_163,32.410781
id_164,18.771980
id_165,28.151432
id_166,47.926092
id_167,28.674640
id_168,1.224821
id_169,14.255334
id_170,-7.940860
id_171,-22.855382
id_172,24.321410
id_173,43.048609
id_174,41.986389
id_175,3.930923
id_176,-15.297562
id_177,21.720014
id_178,19.048954
id_179,34.009363
id_180,-2.131953
id_181,39.253119
id_182,2.396368
id_183,40.106755
id_184,-3.110586
id_185,22.900537
id_186,31.281911
id_187,29.124823
id_188,18.763431
id_189,15.355132
id_190,-18.740088
id_191,6.124637
id_192,-14.109157
id_193,31.157002
id_194,-5.895323
id_195,-10.723923
id_196,-16.327847
id_197,-26.891718
id_198,-12.456089
id_199,-29.012023
id_200,-4.599388
id_201,13.154927
id_202,8.593694
id_203,72.211239
id_204,33.323571
id_205,-10.814000
id_206,32.639208
id_207,22.548915
id_208,62.230723
id_209,1.752122
id_210,-4.574766
id_211,-4.992848
id_212,52.440469
id_213,57.624384
id_214,13.162769
id_215,-21.959151
id_216,42.896981
id_217,-8.312804
id_218,7.186441
id_219,67.549174
id_220,18.390520
id_221,14.418954
id_222,11.210608
id_223,66.941301
id_224,7.842623
id_225,19.256961
id_226,-18.542070
id_227,17.428243
id_228,2.771479
id_229,-4.646208
id_230,-26.263215
id_231,-2.047172
id_232,-5.494898
id_233,10.089500
id_234,-3.330088
id_235,-6.082068
id_236,-22.029955
id_237,-26.636330
id_238,-20.215542
id_239,-20.452843
id_240,30.671823
id_241,34.658885
id_242,22.829516
id_243,9.692304
id_244,23.251965
id_245,19.219653
id_246,-4.170508
id_247,18.455172
id_248,5.494576
id_249,-24.574338
id_250,-15.671143
id_251,12.601862
id_252,-10.795803
id_253,-5.255155
id_254,-2.248222
id_255,-5.926101
id_256,36.474216
id_257,-29.056421
id_258,36.822689
id_259,43.450839
