id,value
id_0,35.667253
id_1,12.354081
id_2,9.685224
id_3,18.191500
id_4,24.187050
id_5,101.119866
id_6,26.828034
id_7,34.366937
id_8,40.285142
id_9,19.077321
id_10,27.501820
id_11,39.160484
id_12,38.934410
id_13,14.659615
id_14,22.236459
id_15,40.961115
id_16,32.034660
id_17,56.069644
id_18,22.047785
id_19,10.105175
id_20,30.750429
id_21,30.597924
id_22,19.359260
id_23,44.598545
id_24,17.559008
id_25,13.719767
id_26,45.126339
id_27,34.064684
id_28,59.681787
id_29,16.335725
id_30,14.708646
id_31,41.333114
id_32,36.708247
id_33,32.467720
id_34,54.207161
id_35,34.138485
id_36,14.101606
id_37,44.181200
id_38,24.528775
id_39,5.840773
id_40,25.576001
id_41,6.301962
id_42,44.628141
id_43,27.745827
id_44,60.584938
id_45,41.216092
id_46,37.778611
id_47,22.864943
id_48,22.191695
id_49,66.529037
id_50,28.443763
id_51,49.893669
id_52,19.583740
id_53,29.217766
id_54,20.351889
id_55,42.386274
id_56,42.725938
id_57,24.721594
id_58,21.938371
id_59,13.040312
id_60,59.313804
id_61,84.751936
id_62,35.069863
id_63,24.791013
id_64,14.094676
id_65,40.094642
id_66,33.554482
id_67,11.757475
id_68,57.135848
id_69,7.729210
id_70,20.372175
id_71,18.426668
id_72,19.089025
id_73,16.535444
id_74,49.596235
id_75,63.924893
id_76,9.301736
id_77,38.740580
id_78,67.074316
id_79,39.974251
id_80,48.066065
id_81,25.016036
id_82,9.412023
id_83,45.775577
id_84,12.693869
id_85,9.777381
id_86,32.254814
id_87,85.617409
id_88,30.304558
id_89,46.986354
id_90,14.355710
id_91,61.794037
id_92,53.204714
id_93,8.059717
id_94,22.889311
id_95,25.050210
id_96,20.283014
id_97,4.445532
id_98,13.261508
id_99,40.919911
id_100,18.366015
id_101,46.851913
id_102,33.493925
id_103,35.765276
id_104,33.547160
id_105,19.585528
id_106,15.456746
id_107,38.733305
id_108,7.494031
id_109,68.926691
id_110,29.746644
id_111,65.607653
id_112,21.753019
id_113,32.696524
id_114,28.998339
id_115,34.571900
id_116,34.197183
id_117,18.944379
id_118,28.796627
id_119,46.690399
id_120,25.323301
id_121,36.358356
id_122,74.279997
id_123,4.727934
id_124,36.694004
id_125,7.057591
id_126,27.811460
id_127,19.076296
id_128,25.286715
id_129,44.134144
id_130,6.691550
id_131,44.917847
id_132,18.022430
id_133,3.256241
id_134,24.188439
id_135,29.570978
id_136,69.563071
id_137,92.208342
id_138,27.302019
id_139,52.106616
id_140,77.909019
id_141,18.331497
id_142,36.180918
id_143,32.603912
id_144,25.535032
id_145,12.844451
id_146,35.703546
id_147,46.511123
id_148,30.590680
id_149,13.669470
id_150,43.567918
id_151,42.688751
id_152,63.985571
id_153,24.167248
id_154,14.362131
id_155,63.174955
id_156,13.739835
id_157,23.640275
id_158,38.892011
id_159,24.859593
id_160,13.561020
id_161,94.010859
id_162,54.674398
id_163,32.843030
id_164,37.607748
id_165,30.307884
id_166,56.507391
id_167,53.986828
id_168,10.528090
id_169,22.846906
id_170,29.553837
id_171,29.906467
id_172,25.432109
id_173,41.292455
id_174,80.130934
id_175,54.096376
id_176,18.999788
id_177,19.033459
id_178,56.014275
id_179,29.967902
id_180,17.481660
id_181,25.880460
id_182,27.268728
id_183,25.966936
id_184,3.734573
id_185,30.117850
id_186,34.977481
id_187,45.391238
id_188,70.128593
id_189,50.576765
id_190,7.892749
id_191,25.897542
id_192,19.787017
id_193,24.940365
id_194,27.340013
id_195,15.441941
id_196,13.258442
id_197,15.436953
id_198,25.917179
id_199,13.289793
id_200,10.434380
id_201,30.274733
id_202,34.638804
id_203,70.177684
id_204,-0.357204
id_205,18.969373
id_206,63.180530
id_207,48.267220
id_208,23.887995
id_209,24.923535
id_210,51.490043
id_211,31.735802
id_212,31.222500
id_213,2.955898
id_214,16.567037
id_215,5.487424
id_216,48.909099
id_217,9.604975
id_218,29.577716
id_219,92.559737
id_220,48.606892
id_221,23.805537
id_222,33.471215
id_223,84.747011
id_224,31.670147
id_225,14.487978
id_226,13.306276
id_227,43.565475
id_228,32.709534
id_229,28.061633
id_230,9.892700
id_231,30.151711
id_232,4.666727
id_233,32.128416
id_234,59.829218
id_235,19.384084
id_236,16.316757
id_237,15.419604
id_238,11.484604
id_239,28.696081
id_240,24.802306
id_241,73.321282
id_242,33.264743
id_243,31.363067
id_244,58.726187
id_245,42.458151
id_246,37.979595
id_247,42.233021
id_248,15.112871
id_249,7.545822
id_250,16.153559
id_251,40.397205
id_252,12.090538
id_253,23.514558
id_254,19.184970
id_255,30.086169
id_256,36.476996
id_257,-3.303849
id_258,27.651089
id_259,41.911407
