id,value
id_0,37.542642
id_1,12.620995
id_2,8.477188
id_3,17.892867
id_4,25.009599
id_5,104.309022
id_6,25.645933
id_7,33.797089
id_8,41.146785
id_9,19.413214
id_10,26.284604
id_11,39.863045
id_12,40.708248
id_13,14.531934
id_14,25.791568
id_15,39.904657
id_16,32.391039
id_17,55.980985
id_18,23.045991
id_19,9.909700
id_20,30.964136
id_21,31.782345
id_22,28.131968
id_23,44.993567
id_24,16.460242
id_25,12.710423
id_26,43.745504
id_27,34.744742
id_28,61.231188
id_29,17.349963
id_30,15.358655
id_31,43.442131
id_32,36.666294
id_33,31.563347
id_34,53.184973
id_35,35.286730
id_36,14.327653
id_37,44.433190
id_38,23.593900
id_39,2.900756
id_40,26.127054
id_41,2.927909
id_42,44.022949
id_43,31.234591
id_44,58.622366
id_45,40.550831
id_46,40.051640
id_47,23.362231
id_48,23.021140
id_49,65.646402
id_50,26.816086
id_51,52.127164
id_52,18.847874
id_53,30.816496
id_54,19.681500
id_55,41.753518
id_56,39.455867
id_57,25.068174
id_58,23.214517
id_59,11.667480
id_60,59.449759
id_61,86.445510
id_62,31.842728
id_63,24.494404
id_64,15.436587
id_65,39.179453
id_66,38.244130
id_67,10.799615
id_68,55.737163
id_69,5.794873
id_70,20.053377
id_71,16.627707
id_72,22.196452
id_73,16.951474
id_74,47.885325
id_75,63.595436
id_76,4.418198
id_77,36.296903
id_78,69.021129
id_79,41.866021
id_80,48.580638
id_81,24.305942
id_82,10.453201
id_83,45.335258
id_84,9.588600
id_85,8.842858
id_86,33.414599
id_87,86.657870
id_88,31.364487
id_89,46.223320
id_90,17.074094
id_91,64.491700
id_92,55.252275
id_93,7.196246
id_94,20.554893
id_95,26.250071
id_96,21.742177
id_97,4.289822
id_98,13.454177
id_99,39.269729
id_100,19.812313
id_101,46.524643
id_102,32.932188
id_103,36.446643
id_104,32.224925
id_105,19.568338
id_106,17.871490
id_107,38.416575
id_108,7.615994
id_109,71.398667
id_110,31.514137
id_111,63.115233
id_112,23.644296
id_113,28.953949
id_114,31.967372
id_115,32.857248
id_116,35.636446
id_117,20.752723
id_118,26.728478
id_119,47.179879
id_120,26.527948
id_121,38.063756
id_122,71.520762
id_123,4.966673
id_124,42.041708
id_125,4.984807
id_126,29.092866
id_127,19.597229
id_128,25.943904
id_129,47.291904
id_130,4.677517
id_131,46.429859
id_132,18.189518
id_133,5.500229
id_134,23.032370
id_135,31.594458
id_136,71.941188
id_137,91.632671
id_138,26.545262
id_139,53.112920
id_140,77.293839
id_141,19.226924
id_142,38.262239
id_143,31.807168
id_144,26.558808
id_145,12.746046
id_146,38.103140
id_147,45.044029
id_148,29.912968
id_149,12.593801
id_150,43.137574
id_151,45.878315
id_152,63.196138
id_153,23.106422
id_154,11.588219
id_155,63.234017
id_156,13.669441
id_157,23.903807
id_158,40.644865
id_159,24.185422
id_160,12.667904
id_161,98.873456
id_162,54.066131
id_163,33.456134
id_164,37.465113
id_165,32.690601
id_166,56.433981
id_167,55.552409
id_168,10.869905
id_169,22.862521
id_170,28.816242
id_171,27.320247
id_172,30.142593
id_173,41.607454
id_174,81.580193
id_175,54.111408
id_176,18.377964
id_177,19.623968
id_178,57.591420
id_179,26.249574
id_180,16.352812
id_181,27.476238
id_182,26.601536
id_183,28.941775
id_184,5.945327
id_185,29.317007
id_186,33.884635
id_187,47.511466
id_188,72.135919
id_189,52.816486
id_190,8.430350
id_191,27.017203
id_192,20.164093
id_193,27.905640
id_194,26.131666
id_195,17.082731
id_196,14.828928
id_197,15.336669
id_198,24.484141
id_199,12.323709
id_200,9.863956
id_201,29.550736
id_202,33.365059
id_203,71.718182
id_204,2.050379
id_205,20.041671
id_206,65.581469
id_207,49.375446
id_208,26.454599
id_209,27.537290
id_210,50.246384
id_211,28.329458
id_212,31.014878
id_213,2.383862
id_214,13.542252
id_215,4.672029
id_216,48.734836
id_217,8.402987
id_218,29.095589
id_219,91.553581
id_220,50.495054
id_221,21.563581
id_222,36.540716
id_223,85.490741
id_224,34.746152
id_225,16.521449
id_226,13.920852
id_227,45.362222
id_228,31.914719
id_229,30.092320
id_230,9.152304
id_231,29.946509
id_232,3.169232
id_233,30.705466
id_234,59.475102
id_235,20.271369
id_236,17.837276
id_237,15.569545
id_238,10.575204
id_239,27.627394
id_240,24.675117
id_241,71.300333
id_242,33.352075
id_243,31.131631
id_244,61.507871
id_245,44.111637
id_246,39.253006
id_247,46.130969
id_248,14.540530
id_249,5.919955
id_250,15.126439
id_251,40.791898
id_252,11.605519
id_253,24.388312
id_254,19.472127
id_255,30.931051
id_256,36.934721
id_257,0.542199
id_258,30.304875
id_259,42.274801
