id,value
id_0,37.560646
id_1,12.649983
id_2,5.430777
id_3,19.409810
id_4,27.043091
id_5,102.475646
id_6,26.770947
id_7,34.612497
id_8,41.687523
id_9,21.243171
id_10,27.250427
id_11,38.657467
id_12,36.326773
id_13,15.633742
id_14,25.221254
id_15,39.113438
id_16,30.526588
id_17,56.155221
id_18,21.930106
id_19,10.161044
id_20,30.256665
id_21,31.963986
id_22,14.613106
id_23,44.037845
id_24,14.747819
id_25,15.617994
id_26,45.013740
id_27,32.177372
id_28,60.592699
id_29,18.782302
id_30,15.305667
id_31,43.136283
id_32,37.628154
id_33,34.535011
id_34,52.819030
id_35,33.582732
id_36,14.518362
id_37,44.597114
id_38,22.485823
id_39,2.420359
id_40,25.083567
id_41,7.188350
id_42,43.305925
id_43,29.677521
id_44,61.429954
id_45,38.738706
id_46,38.226632
id_47,23.465276
id_48,23.154867
id_49,64.768651
id_50,27.327261
id_51,52.288724
id_52,19.086372
id_53,30.961718
id_54,18.636763
id_55,42.946721
id_56,38.692698
id_57,26.071018
id_58,24.338422
id_59,12.069247
id_60,61.292957
id_61,83.203876
id_62,33.045347
id_63,23.960294
id_64,14.382664
id_65,40.510503
id_66,32.599081
id_67,12.136999
id_68,55.110087
id_69,4.879186
id_70,21.180474
id_71,22.004963
id_72,21.899152
id_73,18.048882
id_74,47.962157
id_75,62.932218
id_76,5.539561
id_77,37.620869
id_78,68.520086
id_79,38.982161
id_80,47.149050
id_81,25.014161
id_82,12.661543
id_83,46.580532
id_84,9.010498
id_85,7.668633
id_86,34.046378
id_87,87.606101
id_88,31.688278
id_89,44.212621
id_90,17.276811
id_91,64.042175
id_92,53.256106
id_93,7.822637
id_94,21.096630
id_95,26.389201
id_96,22.253305
id_97,3.985477
id_98,12.615666
id_99,40.511404
id_100,19.109479
id_101,45.754932
id_102,32.961513
id_103,37.215034
id_104,30.797309
id_105,20.403586
id_106,15.710437
id_107,37.832698
id_108,7.835075
id_109,69.550670
id_110,31.857367
id_111,65.020235
id_112,23.472382
id_113,27.934597
id_114,32.407754
id_115,34.797203
id_116,36.018600
id_117,23.526473
id_118,28.838541
id_119,46.469649
id_120,25.426375
id_121,36.141034
id_122,75.676690
id_123,2.727530
id_124,36.566337
id_125,5.566873
id_126,27.584434
id_127,19.486991
id_128,27.448438
id_129,45.785334
id_130,5.853713
id_131,46.714265
id_132,18.437176
id_133,5.874636
id_134,22.853618
id_135,32.716021
id_136,72.841225
id_137,90.165854
id_138,24.958189
id_139,55.449485
id_140,75.598055
id_141,17.826235
id_142,33.621330
id_143,30.234671
id_144,24.082476
id_145,12.547330
id_146,39.145275
id_147,43.660170
id_148,30.384599
id_149,12.482524
id_150,44.698176
id_151,40.945872
id_152,62.501830
id_153,23.970207
id_154,11.543087
id_155,62.008011
id_156,14.243506
id_157,24.199530
id_158,38.966780
id_159,23.474904
id_160,13.176007
id_161,97.520939
id_162,55.236495
id_163,34.241309
id_164,37.205655
id_165,33.475245
id_166,56.991993
id_167,53.778913
id_168,9.724661
id_169,21.900409
id_170,29.041480
id_171,28.676066
id_172,29.286896
id_173,41.425391
id_174,83.819410
id_175,54.041892
id_176,18.234380
id_177,20.107380
id_178,54.797800
id_179,27.110107
id_180,16.118862
id_181,26.421618
id_182,25.764825
id_183,25.685267
id_184,7.506553
id_185,31.385857
id_186,33.930444
id_187,47.450177
id_188,73.356769
id_189,53.440285
id_190,8.069214
id_191,25.985971
id_192,21.128702
id_193,27.232015
id_194,26.590946
id_195,16.711913
id_196,15.978191
id_197,15.054028
id_198,23.998768
id_199,13.221429
id_200,9.007263
id_201,30.125972
id_202,35.039276
id_203,68.054380
id_204,4.051110
id_205,19.188965
id_206,65.289620
id_207,49.225480
id_208,19.464038
id_209,27.550472
id_210,49.203974
id_211,30.900174
id_212,30.469884
id_213,3.572774
id_214,14.343663
id_215,4.423508
id_216,50.153580
id_217,7.906421
id_218,28.168471
id_219,88.769509
id_220,50.806182
id_221,21.786246
id_222,35.691240
id_223,86.235151
id_224,34.083053
id_225,14.519239
id_226,14.585461
id_227,45.659107
id_228,30.830354
id_229,30.239072
id_230,8.482909
id_231,28.988079
id_232,2.582618
id_233,33.479722
id_234,59.114588
id_235,20.640146
id_236,16.537299
id_237,15.497145
id_238,11.724574
id_239,27.596666
id_240,25.755581
id_241,72.234953
id_242,28.531579
id_243,34.443480
id_244,61.229185
id_245,43.376477
id_246,36.742795
id_247,46.289083
id_248,15.846399
id_249,5.102436
id_250,15.947319
id_251,39.826200
id_252,11.851198
id_253,23.150858
id_254,19.514575
id_255,34.705167
id_256,32.566650
id_257,-2.586606
id_258,29.096934
id_259,41.710771
