id,value
id_0,31.974599
id_1,13.046627
id_2,8.366362
id_3,19.611590
id_4,28.856940
id_5,92.953053
id_6,27.059972
id_7,36.569492
id_8,28.473620
id_9,20.007432
id_10,32.020392
id_11,34.832072
id_12,39.524650
id_13,14.399464
id_14,23.692091
id_15,45.736804
id_16,26.383819
id_17,63.193568
id_18,23.666347
id_19,12.993435
id_20,30.551160
id_21,28.581073
id_22,26.188386
id_23,38.448323
id_24,11.831805
id_25,16.485803
id_26,43.867367
id_27,27.832587
id_28,55.746989
id_29,19.653803
id_30,17.311393
id_31,40.805966
id_32,37.146384
id_33,41.462430
id_34,54.523226
id_35,32.278734
id_36,15.303600
id_37,41.909977
id_38,23.872032
id_39,4.680046
id_40,28.727357
id_41,7.428016
id_42,49.405285
id_43,24.131031
id_44,65.435898
id_45,39.607270
id_46,37.530444
id_47,25.129713
id_48,24.080933
id_49,64.283705
id_50,26.551925
id_51,54.723193
id_52,23.951303
id_53,27.124471
id_54,20.938021
id_55,41.967695
id_56,43.198601
id_57,30.348450
id_58,18.113390
id_59,12.365562
id_60,66.451004
id_61,84.726625
id_62,38.009519
id_63,22.619614
id_64,12.771161
id_65,45.354585
id_66,30.528623
id_67,11.042243
id_68,57.431420
id_69,4.447518
id_70,22.923773
id_71,25.072088
id_72,23.792404
id_73,17.364317
id_74,57.701448
id_75,64.177769
id_76,9.708754
id_77,41.402392
id_78,76.632456
id_79,42.598390
id_80,58.517290
id_81,29.870411
id_82,15.461678
id_83,48.947270
id_84,10.703505
id_85,9.826172
id_86,31.153085
id_87,88.866498
id_88,29.950764
id_89,45.956037
id_90,14.529379
id_91,59.954522
id_92,54.218536
id_93,6.259994
id_94,26.630021
id_95,26.153157
id_96,21.388637
id_97,3.891034
id_98,15.375521
id_99,43.814565
id_100,25.544789
id_101,44.858917
id_102,26.395558
id_103,37.845150
id_104,32.669364
id_105,15.487046
id_106,18.453411
id_107,41.080112
id_108,11.583291
id_109,60.319327
id_110,27.904259
id_111,65.803876
id_112,24.418996
id_113,31.181080
id_114,33.669336
id_115,40.405742
id_116,43.631841
id_117,22.421596
id_118,28.431350
id_119,49.226759
id_120,28.017815
id_121,35.944489
id_122,83.622762
id_123,6.958570
id_124,31.673184
id_125,7.198555
id_126,29.947375
id_127,14.530874
id_128,26.898773
id_129,48.724748
id_130,6.636439
id_131,41.433294
id_132,18.232094
id_133,7.237305
id_134,25.328879
id_135,32.953583
id_136,73.786270
id_137,93.470851
id_138,27.199509
id_139,53.539038
id_140,80.285742
id_141,18.385331
id_142,37.558111
id_143,28.241944
id_144,20.814925
id_145,14.246186
id_146,35.129820
id_147,50.124624
id_148,30.179475
id_149,13.878753
id_150,42.550385
id_151,46.324371
id_152,61.998248
id_153,29.539317
id_154,11.070516
id_155,56.847291
id_156,13.149561
id_157,23.925921
id_158,40.846359
id_159,21.924297
id_160,15.870305
id_161,99.519192
id_162,68.950008
id_163,42.780539
id_164,36.644803
id_165,37.813131
id_166,60.778290
id_167,52.573946
id_168,12.621145
id_169,25.706651
id_170,26.824140
id_171,31.573697
id_172,29.768078
id_173,44.182013
id_174,75.265746
id_175,54.395086
id_176,21.103696
id_177,22.466527
id_178,46.350002
id_179,30.790699
id_180,15.791593
id_181,30.997661
id_182,25.479903
id_183,38.181191
id_184,11.888973
id_185,35.543254
id_186,34.615293
id_187,45.252838
id_188,66.600946
id_189,59.398802
id_190,8.881655
id_191,24.662239
id_192,21.838856
id_193,23.854620
id_194,26.448419
id_195,14.202952
id_196,13.987875
id_197,15.964425
id_198,26.394638
id_199,15.531848
id_200,10.219408
id_201,28.055899
id_202,38.880667
id_203,70.525128
id_204,4.419176
id_205,18.405060
id_206,34.953774
id_207,54.784115
id_208,16.348374
id_209,28.289273
id_210,48.857745
id_211,37.496310
id_212,32.017439
id_213,8.843388
id_214,20.760389
id_215,4.563664
id_216,55.935061
id_217,9.043982
id_218,32.469444
id_219,85.315922
id_220,50.220909
id_221,21.313192
id_222,35.759569
id_223,95.271423
id_224,34.830337
id_225,13.356904
id_226,13.548579
id_227,46.698677
id_228,30.560700
id_229,30.292537
id_230,2.008060
id_231,27.744224
id_232,8.108601
id_233,33.926492
id_234,61.126329
id_235,19.081829
id_236,19.590494
id_237,16.748387
id_238,13.625417
id_239,27.633980
id_240,30.308434
id_241,70.978860
id_242,28.271053
id_243,31.590544
id_244,65.903852
id_245,47.030073
id_246,40.790373
id_247,45.039195
id_248,12.892553
id_249,7.927843
id_250,11.224828
id_251,44.038505
id_252,15.960657
id_253,18.933207
id_254,18.377008
id_255,31.996909
id_256,38.569943
id_257,0.599174
id_258,31.261948
id_259,40.558033
