id,value
id_0,33.496488
id_1,14.615895
id_2,6.794060
id_3,19.510934
id_4,27.159881
id_5,94.273084
id_6,30.287653
id_7,35.894020
id_8,28.974588
id_9,21.479227
id_10,30.711216
id_11,33.261298
id_12,36.155665
id_13,16.573005
id_14,24.611335
id_15,47.159870
id_16,27.150683
id_17,59.046457
id_18,24.214184
id_19,14.093044
id_20,29.798085
id_21,29.481116
id_22,7.649547
id_23,39.687527
id_24,12.314208
id_25,14.845482
id_26,43.109779
id_27,28.457304
id_28,54.805786
id_29,19.889033
id_30,16.081319
id_31,41.544268
id_32,36.634240
id_33,45.625368
id_34,55.303269
id_35,30.576180
id_36,15.334875
id_37,42.148588
id_38,25.427575
id_39,4.025146
id_40,31.196215
id_41,8.321044
id_42,48.304066
id_43,25.401873
id_44,66.472101
id_45,40.978202
id_46,38.134163
id_47,27.283267
id_48,25.561242
id_49,64.178589
id_50,26.555278
id_51,51.733688
id_52,23.163607
id_53,27.186199
id_54,21.563383
id_55,40.099635
id_56,44.582373
id_57,29.661483
id_58,20.104258
id_59,12.997411
id_60,66.567952
id_61,83.159994
id_62,38.076594
id_63,23.464699
id_64,12.312842
id_65,45.150103
id_66,26.344185
id_67,12.930086
id_68,57.078065
id_69,4.862951
id_70,21.761663
id_71,25.952270
id_72,23.321109
id_73,14.219125
id_74,59.704966
id_75,65.717954
id_76,9.867384
id_77,38.924285
id_78,74.112721
id_79,41.666464
id_80,60.162999
id_81,30.350408
id_82,15.986518
id_83,49.650750
id_84,10.910640
id_85,9.351502
id_86,33.079218
id_87,89.037372
id_88,30.517532
id_89,46.148422
id_90,15.523516
id_91,60.480777
id_92,53.159543
id_93,6.902507
id_94,27.084780
id_95,25.314065
id_96,21.533331
id_97,2.187778
id_98,14.982134
id_99,45.473968
id_100,25.841823
id_101,46.520572
id_102,28.606098
id_103,36.435167
id_104,32.886354
id_105,16.998768
id_106,17.670241
id_107,40.009694
id_108,11.316666
id_109,59.806292
id_110,27.904226
id_111,65.090279
id_112,23.475392
id_113,32.687316
id_114,31.811771
id_115,39.185322
id_116,40.796931
id_117,22.893387
id_118,28.884796
id_119,49.978810
id_120,25.028790
id_121,34.989150
id_122,85.106962
id_123,6.666139
id_124,44.295718
id_125,7.345839
id_126,31.168025
id_127,15.317976
id_128,28.297002
id_129,47.705923
id_130,7.223946
id_131,41.093986
id_132,18.337068
id_133,8.200057
id_134,25.379735
id_135,32.291673
id_136,71.327941
id_137,91.084284
id_138,25.971112
id_139,54.634859
id_140,78.461887
id_141,18.513929
id_142,36.491182
id_143,28.217076
id_144,25.930317
id_145,14.667771
id_146,37.001380
id_147,48.691473
id_148,30.491303
id_149,14.626208
id_150,39.897366
id_151,47.448417
id_152,60.647863
id_153,29.797923
id_154,14.137910
id_155,55.229580
id_156,12.864390
id_157,22.944794
id_158,41.752880
id_159,22.318040
id_160,16.697485
id_161,99.621662
id_162,62.924634
id_163,40.896186
id_164,36.920255
id_165,38.440512
id_166,60.736162
id_167,53.362099
id_168,11.228420
id_169,25.501754
id_170,28.107851
id_171,32.031361
id_172,32.537365
id_173,46.513753
id_174,72.481136
id_175,52.894762
id_176,22.143566
id_177,23.284818
id_178,47.286411
id_179,31.420640
id_180,14.302557
id_181,30.708608
id_182,25.695665
id_183,34.381482
id_184,11.227091
id_185,36.142739
id_186,33.183328
id_187,42.815833
id_188,69.393899
id_189,60.372978
id_190,9.753505
id_191,24.196731
id_192,21.465863
id_193,25.751189
id_194,25.217698
id_195,13.536728
id_196,14.408223
id_197,16.549479
id_198,26.858733
id_199,16.082263
id_200,11.171387
id_201,27.617533
id_202,38.851259
id_203,67.147154
id_204,7.008263
id_205,19.125231
id_206,41.648573
id_207,52.217191
id_208,13.996478
id_209,26.691926
id_210,50.238733
id_211,35.012241
id_212,33.096692
id_213,12.872364
id_214,19.509679
id_215,5.213832
id_216,56.346165
id_217,8.380408
id_218,34.314290
id_219,87.659582
id_220,49.159544
id_221,20.881522
id_222,36.327159
id_223,97.267238
id_224,36.272713
id_225,15.064374
id_226,13.691554
id_227,46.061622
id_228,31.060750
id_229,29.355028
id_230,5.619623
id_231,29.203679
id_232,8.805129
id_233,35.253846
id_234,59.765836
id_235,20.104435
id_236,20.942842
id_237,17.961689
id_238,13.880725
id_239,28.869380
id_240,31.123103
id_241,73.483919
id_242,25.683203
id_243,32.399305
id_244,67.118836
id_245,49.650715
id_246,40.919463
id_247,43.573985
id_248,12.562976
id_249,7.700628
id_250,12.271377
id_251,44.885938
id_252,15.888909
id_253,20.787137
id_254,19.544218
id_255,32.800133
id_256,37.863978
id_257,-1.215820
id_258,30.756264
id_259,37.712953
