id,value
id_0,36.123703
id_1,12.682264
id_2,6.950740
id_3,18.747352
id_4,24.878946
id_5,104.185555
id_6,26.687219
id_7,35.984685
id_8,39.420601
id_9,19.442455
id_10,25.939848
id_11,37.085168
id_12,37.145872
id_13,14.989559
id_14,23.452283
id_15,42.471482
id_16,29.923528
id_17,52.646387
id_18,21.546966
id_19,12.076054
id_20,30.862567
id_21,30.609353
id_22,18.384771
id_23,45.454890
id_24,16.037166
id_25,13.217779
id_26,45.085698
id_27,31.182992
id_28,60.512622
id_29,16.168027
id_30,16.187641
id_31,43.922955
id_32,37.721351
id_33,35.882962
id_34,52.956576
id_35,34.849104
id_36,13.563074
id_37,44.658106
id_38,24.171028
id_39,3.881475
id_40,27.826681
id_41,6.234762
id_42,44.780222
id_43,26.680096
id_44,58.549036
id_45,40.383962
id_46,37.276398
id_47,25.077353
id_48,22.639337
id_49,64.971437
id_50,24.882794
id_51,51.053477
id_52,19.402824
id_53,31.220553
id_54,19.363832
id_55,41.329618
id_56,42.359564
id_57,24.319267
id_58,19.038115
id_59,12.757356
id_60,62.538603
id_61,87.275691
id_62,33.241665
id_63,25.313086
id_64,13.231795
id_65,40.229390
id_66,29.568334
id_67,10.586510
id_68,54.108892
id_69,6.083720
id_70,18.462758
id_71,14.712145
id_72,22.779844
id_73,16.599636
id_74,48.986664
id_75,64.191811
id_76,6.632040
id_77,35.674019
id_78,72.333108
id_79,37.984459
id_80,49.659171
id_81,20.885612
id_82,13.972886
id_83,44.577579
id_84,10.157284
id_85,9.102207
id_86,30.009935
id_87,88.924610
id_88,29.828326
id_89,48.296520
id_90,15.805308
id_91,62.440847
id_92,55.423942
id_93,5.909025
id_94,21.666064
id_95,24.008562
id_96,19.023875
id_97,2.424150
id_98,15.022281
id_99,44.308461
id_100,22.664181
id_101,47.543947
id_102,32.090865
id_103,35.015328
id_104,32.986301
id_105,19.234259
id_106,17.165682
id_107,37.555561
id_108,9.377208
id_109,66.753820
id_110,29.567859
id_111,65.920745
id_112,23.404936
id_113,32.404799
id_114,29.291499
id_115,34.790334
id_116,36.629022
id_117,23.755413
id_118,27.562179
id_119,46.712359
id_120,25.482303
id_121,36.331237
id_122,71.755397
id_123,4.491495
id_124,39.212426
id_125,6.011552
id_126,29.385092
id_127,17.785727
id_128,27.154645
id_129,48.309791
id_130,5.561188
id_131,46.145680
id_132,19.583432
id_133,7.769086
id_134,23.158686
id_135,31.862891
id_136,68.279770
id_137,91.489846
id_138,25.251246
id_139,57.266705
id_140,76.513339
id_141,18.450191
id_142,40.767725
id_143,31.694515
id_144,24.978415
id_145,14.097927
id_146,38.670240
id_147,46.017756
id_148,29.958361
id_149,11.680033
id_150,43.668423
id_151,42.477681
id_152,60.760292
id_153,25.349963
id_154,13.462813
id_155,59.243043
id_156,12.281393
id_157,24.972281
id_158,41.417140
id_159,24.085020
id_160,14.266541
id_161,101.708622
id_162,54.989037
id_163,33.349844
id_164,38.022967
id_165,32.136431
id_166,53.723980
id_167,54.034575
id_168,11.163835
id_169,22.408717
id_170,29.735571
id_171,29.740179
id_172,29.619562
id_173,41.342004
id_174,83.973874
id_175,54.311181
id_176,19.609473
id_177,20.083394
id_178,52.750958
id_179,27.584482
id_180,16.592585
id_181,24.958869
id_182,28.193573
id_183,29.583667
id_184,6.859155
id_185,33.284883
id_186,34.483341
id_187,44.644965
id_188,72.861850
id_189,56.240178
id_190,7.149219
id_191,24.832620
id_192,18.928157
id_193,27.050943
id_194,26.079369
id_195,15.508154
id_196,15.060771
id_197,15.334965
id_198,23.926671
id_199,13.312363
id_200,11.423357
id_201,28.504817
id_202,29.768300
id_203,69.835560
id_204,-1.345252
id_205,18.394162
id_206,54.399517
id_207,50.152625
id_208,16.142091
id_209,29.753949
id_210,47.304953
id_211,35.195522
id_212,27.580613
id_213,3.443021
id_214,17.315846
id_215,4.198260
id_216,51.010247
id_217,7.933948
id_218,30.206730
id_219,89.679955
id_220,48.957009
id_221,22.336017
id_222,35.152354
id_223,90.978503
id_224,35.292326
id_225,14.919677
id_226,12.822944
id_227,46.323332
id_228,31.454030
id_229,29.678761
id_230,8.119270
id_231,31.160551
id_232,4.842899
id_233,32.261273
id_234,61.242687
id_235,21.136464
id_236,15.382887
id_237,15.983430
id_238,13.353552
id_239,28.462784
id_240,23.856003
id_241,73.455102
id_242,29.198392
id_243,27.772184
id_244,63.091785
id_245,41.137861
id_246,40.711750
id_247,43.292349
id_248,14.341258
id_249,5.692743
id_250,14.680620
id_251,41.151061
id_252,13.093965
id_253,23.386041
id_254,20.144297
id_255,32.494339
id_256,39.302087
id_257,1.368851
id_258,28.485811
id_259,39.803433
