id,value
id_0,39.928214
id_1,12.217938
id_2,5.866906
id_3,18.331894
id_4,24.437016
id_5,102.382109
id_6,26.609522
id_7,35.128286
id_8,42.243234
id_9,20.922436
id_10,25.890624
id_11,38.793204
id_12,37.784055
id_13,15.142284
id_14,26.282216
id_15,39.419154
id_16,31.523723
id_17,50.402330
id_18,22.403468
id_19,11.265060
id_20,30.457477
id_21,32.625695
id_22,19.431476
id_23,45.505103
id_24,13.661466
id_25,13.685401
id_26,44.410260
id_27,32.146004
id_28,64.210977
id_29,18.844595
id_30,16.193721
id_31,44.013036
id_32,35.028942
id_33,33.345620
id_34,53.782202
id_35,37.308805
id_36,13.448833
id_37,44.813047
id_38,22.627769
id_39,1.893198
id_40,24.945930
id_41,4.244119
id_42,42.858793
id_43,32.362172
id_44,57.219044
id_45,39.922031
id_46,39.470903
id_47,23.278798
id_48,23.517066
id_49,64.482953
id_50,26.094188
id_51,49.796131
id_52,18.163780
id_53,32.419782
id_54,18.597855
id_55,41.905497
id_56,39.711520
id_57,24.490699
id_58,24.593742
id_59,12.563824
id_60,61.676948
id_61,84.290395
id_62,29.954294
id_63,23.525464
id_64,15.572634
id_65,40.426124
id_66,34.069420
id_67,10.650373
id_68,55.649767
id_69,4.763233
id_70,18.607243
id_71,27.104558
id_72,24.248965
id_73,16.885718
id_74,44.957002
id_75,61.557208
id_76,2.881752
id_77,37.067571
id_78,67.226012
id_79,37.594989
id_80,47.100950
id_81,18.923678
id_82,15.942232
id_83,41.418505
id_84,9.523567
id_85,6.901095
id_86,31.820755
id_87,86.592631
id_88,30.834092
id_89,45.912499
id_90,17.984436
id_91,66.178340
id_92,55.492593
id_93,7.251475
id_94,20.434491
id_95,27.958348
id_96,23.240642
id_97,0.647310
id_98,13.708492
id_99,38.971251
id_100,19.599841
id_101,45.568543
id_102,31.714813
id_103,36.281165
id_104,32.432842
id_105,21.066775
id_106,19.080842
id_107,36.421237
id_108,7.345227
id_109,70.505185
id_110,32.571656
id_111,64.943843
id_112,24.460608
id_113,27.315881
id_114,32.027294
id_115,33.400444
id_116,35.458558
id_117,22.700229
id_118,28.614386
id_119,46.201104
id_120,25.411961
id_121,36.031947
id_122,69.356279
id_123,2.297635
id_124,40.655330
id_125,4.838873
id_126,28.702960
id_127,19.710367
id_128,28.842835
id_129,47.408926
id_130,4.738115
id_131,48.898299
id_132,19.572113
id_133,7.498712
id_134,22.076025
id_135,32.438106
id_136,72.046816
id_137,91.357193
id_138,26.276705
id_139,55.006182
id_140,75.278026
id_141,19.268296
id_142,41.155550
id_143,31.838801
id_144,26.986714
id_145,12.556029
id_146,39.995467
id_147,44.316317
id_148,30.594082
id_149,12.903628
id_150,45.397361
id_151,40.886327
id_152,63.053590
id_153,21.995795
id_154,11.520504
id_155,62.199339
id_156,14.366631
id_157,26.167170
id_158,38.807370
id_159,25.395680
id_160,13.127398
id_161,98.777073
id_162,55.090555
id_163,35.097410
id_164,36.780191
id_165,32.460492
id_166,53.825378
id_167,55.732378
id_168,9.412322
id_169,22.607863
id_170,28.860966
id_171,28.126924
id_172,29.654432
id_173,39.596273
id_174,82.087192
id_175,54.237781
id_176,19.803044
id_177,19.083591
id_178,60.733893
id_179,28.801462
id_180,16.340362
id_181,25.667594
id_182,24.545338
id_183,27.840285
id_184,6.302625
id_185,28.364128
id_186,32.852387
id_187,47.359022
id_188,72.303003
id_189,54.894347
id_190,8.203243
id_191,25.615582
id_192,20.397271
id_193,27.084763
id_194,27.465063
id_195,16.700939
id_196,15.262477
id_197,15.732102
id_198,23.921802
id_199,12.439063
id_200,10.061897
id_201,28.946670
id_202,31.599589
id_203,68.407792
id_204,2.279049
id_205,19.187698
id_206,69.673678
id_207,48.468323
id_208,21.499137
id_209,29.426747
id_210,45.722589
id_211,33.608455
id_212,28.795557
id_213,-0.170974
id_214,13.796522
id_215,4.119292
id_216,48.448826
id_217,7.696082
id_218,29.053570
id_219,88.077863
id_220,53.768968
id_221,20.173252
id_222,37.542453
id_223,84.299766
id_224,35.606230
id_225,13.016973
id_226,13.358669
id_227,47.053658
id_228,29.623273
id_229,31.408223
id_230,8.205025
id_231,29.754075
id_232,2.674443
id_233,31.265229
id_234,59.594507
id_235,21.613491
id_236,16.411760
id_237,15.401953
id_238,11.543576
id_239,28.655309
id_240,24.765545
id_241,70.030008
id_242,30.624562
id_243,34.715826
id_244,60.148337
id_245,41.562291
id_246,38.100316
id_247,46.796561
id_248,15.662225
id_249,4.097955
id_250,15.732564
id_251,39.897509
id_252,12.833892
id_253,24.726457
id_254,19.984528
id_255,33.808531
id_256,34.032213
id_257,-2.191559
id_258,29.002426
id_259,43.259183
