id,value
id_0,37.913700
id_1,13.070008
id_2,7.821515
id_3,17.297638
id_4,27.095684
id_5,103.363086
id_6,27.734939
id_7,35.939797
id_8,40.652038
id_9,21.002809
id_10,25.095828
id_11,38.437503
id_12,39.435889
id_13,14.030078
id_14,26.026929
id_15,40.263111
id_16,30.860756
id_17,51.577110
id_18,22.117726
id_19,11.942498
id_20,31.023782
id_21,32.923595
id_22,49.451994
id_23,43.525814
id_24,16.194760
id_25,14.481081
id_26,44.587196
id_27,30.526349
id_28,63.806268
id_29,18.513309
id_30,16.437245
id_31,45.988417
id_32,36.548336
id_33,35.460096
id_34,56.834248
id_35,37.346462
id_36,14.554850
id_37,46.729984
id_38,21.170903
id_39,0.206430
id_40,25.038627
id_41,9.370170
id_42,44.143107
id_43,31.944641
id_44,61.845663
id_45,39.176822
id_46,35.673240
id_47,22.867991
id_48,25.185180
id_49,65.373451
id_50,26.201483
id_51,47.808347
id_52,20.016289
id_53,32.672657
id_54,19.874974
id_55,39.949750
id_56,41.849671
id_57,27.021951
id_58,26.952862
id_59,14.164995
id_60,63.069620
id_61,84.678262
id_62,35.465424
id_63,25.066541
id_64,16.784352
id_65,43.930283
id_66,29.892417
id_67,12.438627
id_68,56.086207
id_69,6.140468
id_70,18.337719
id_71,20.699768
id_72,25.931743
id_73,17.545307
id_74,47.222662
id_75,65.513970
id_76,9.582971
id_77,38.776917
id_78,74.982262
id_79,45.288239
id_80,49.168696
id_81,20.826858
id_82,15.409833
id_83,44.899109
id_84,11.440727
id_85,9.483414
id_86,31.087282
id_87,88.445686
id_88,31.132147
id_89,46.194478
id_90,19.141170
id_91,67.065659
id_92,55.190067
id_93,8.097116
id_94,24.551226
id_95,27.447815
id_96,23.332402
id_97,6.154143
id_98,13.730600
id_99,39.866479
id_100,19.234168
id_101,47.599473
id_102,32.694922
id_103,37.760340
id_104,31.462744
id_105,21.770608
id_106,16.016979
id_107,37.794330
id_108,9.344073
id_109,72.817735
id_110,31.473560
id_111,64.358983
id_112,24.067480
id_113,24.189594
id_114,32.905383
id_115,33.394256
id_116,34.753133
id_117,22.188507
id_118,27.228458
id_119,46.853131
id_120,20.707884
id_121,31.970953
id_122,73.362837
id_123,3.783405
id_124,42.864261
id_125,4.730651
id_126,31.152425
id_127,17.254381
id_128,30.618115
id_129,48.173004
id_130,6.085072
id_131,46.602187
id_132,18.776419
id_133,6.771761
id_134,22.791373
id_135,30.765783
id_136,72.897634
id_137,87.940761
id_138,26.345178
id_139,55.220166
id_140,75.286615
id_141,17.928793
id_142,39.212015
id_143,33.998387
id_144,28.885409
id_145,13.589645
id_146,37.604569
id_147,47.209826
id_148,30.732361
id_149,15.338971
id_150,40.005379
id_151,36.346258
id_152,60.749667
id_153,23.697852
id_154,13.494361
id_155,64.528600
id_156,14.565057
id_157,26.053318
id_158,40.280120
id_159,23.102976
id_160,13.321844
id_161,98.790909
id_162,57.081689
id_163,36.813687
id_164,37.777764
id_165,34.914601
id_166,55.519610
id_167,57.327940
id_168,10.349280
id_169,22.602072
id_170,29.842023
id_171,28.838972
id_172,29.854068
id_173,38.787593
id_174,82.906119
id_175,54.120975
id_176,19.539923
id_177,18.617807
id_178,56.509898
id_179,27.218664
id_180,17.422898
id_181,26.503868
id_182,25.907274
id_183,26.844422
id_184,8.674913
id_185,30.750006
id_186,33.544295
id_187,46.946437
id_188,74.792674
id_189,57.738682
id_190,8.599974
id_191,23.485842
id_192,17.773448
id_193,29.192878
id_194,27.159576
id_195,16.756472
id_196,15.046347
id_197,15.897875
id_198,23.221897
id_199,13.490181
id_200,8.636138
id_201,30.810851
id_202,33.833019
id_203,69.434931
id_204,5.068538
id_205,17.108123
id_206,62.450995
id_207,50.676692
id_208,20.213602
id_209,29.325019
id_210,48.309006
id_211,34.695886
id_212,29.867369
id_213,5.973604
id_214,15.035169
id_215,4.719024
id_216,48.906947
id_217,9.323904
id_218,31.297077
id_219,91.622375
id_220,53.187265
id_221,17.966262
id_222,36.428550
id_223,85.956117
id_224,34.419134
id_225,13.841815
id_226,13.912854
id_227,45.774962
id_228,32.621093
id_229,31.781160
id_230,8.186794
id_231,30.265284
id_232,4.943431
id_233,34.070500
id_234,59.871018
id_235,22.757251
id_236,17.896392
id_237,15.723279
id_238,11.332158
id_239,30.260531
id_240,28.083722
id_241,73.860582
id_242,37.392391
id_243,34.523045
id_244,62.580564
id_245,43.340702
id_246,38.423592
id_247,47.125354
id_248,17.843519
id_249,4.208008
id_250,16.923511
id_251,39.301864
id_252,13.700334
id_253,25.721252
id_254,19.588702
id_255,32.486643
id_256,28.721175
id_257,3.508858
id_258,29.261117
id_259,40.881241
