id,value
id_0,37.041408
id_1,12.913418
id_2,7.244838
id_3,17.878268
id_4,26.583947
id_5,103.537155
id_6,27.483908
id_7,35.677717
id_8,41.982236
id_9,20.803074
id_10,25.105086
id_11,39.490878
id_12,40.166241
id_13,15.238003
id_14,26.763542
id_15,40.980714
id_16,31.806591
id_17,52.349450
id_18,21.974879
id_19,11.157470
id_20,30.307939
id_21,32.027318
id_22,48.489286
id_23,43.769198
id_24,16.278911
id_25,15.255730
id_26,44.555420
id_27,32.174071
id_28,63.454107
id_29,18.454886
id_30,15.657912
id_31,46.235749
id_32,37.210531
id_33,36.224898
id_34,56.330707
id_35,37.303759
id_36,13.896881
id_37,47.034652
id_38,21.815625
id_39,1.182150
id_40,26.787132
id_41,9.535293
id_42,43.510100
id_43,28.838640
id_44,61.354932
id_45,40.388955
id_46,39.443747
id_47,22.672427
id_48,25.839036
id_49,65.437528
id_50,26.189683
id_51,48.113291
id_52,19.738796
id_53,31.940944
id_54,19.528158
id_55,39.778228
id_56,42.093853
id_57,27.502564
id_58,25.892065
id_59,12.881263
id_60,62.298696
id_61,84.783267
id_62,35.784319
id_63,24.476763
id_64,16.917400
id_65,44.357525
id_66,29.730176
id_67,12.769058
id_68,55.849768
id_69,6.272859
id_70,19.067575
id_71,20.367349
id_72,24.646913
id_73,16.924278
id_74,48.061733
id_75,66.347269
id_76,10.146900
id_77,37.363712
id_78,74.307869
id_79,43.558194
id_80,50.282170
id_81,20.605590
id_82,13.700613
id_83,44.847602
id_84,11.840470
id_85,9.524177
id_86,31.478485
id_87,89.745854
id_88,30.823113
id_89,47.812818
id_90,18.216473
id_91,66.768831
id_92,55.566356
id_93,7.972197
id_94,23.783824
id_95,27.106486
id_96,22.525274
id_97,6.206482
id_98,13.183240
id_99,41.142003
id_100,18.790629
id_101,47.557669
id_102,32.314345
id_103,37.875127
id_104,32.205473
id_105,21.273409
id_106,16.353621
id_107,38.470809
id_108,8.458960
id_109,72.325450
id_110,30.713017
id_111,65.288976
id_112,23.701718
id_113,25.733714
id_114,32.259986
id_115,34.128838
id_116,35.861366
id_117,22.288535
id_118,28.170753
id_119,47.575172
id_120,20.482638
id_121,32.722524
id_122,74.861991
id_123,3.553583
id_124,42.738065
id_125,3.913441
id_126,31.081915
id_127,17.879656
id_128,29.869041
id_129,48.274694
id_130,6.077793
id_131,47.984933
id_132,17.756824
id_133,6.310687
id_134,21.369300
id_135,31.219441
id_136,72.267780
id_137,88.349122
id_138,25.425884
id_139,55.399736
id_140,77.655302
id_141,17.434096
id_142,36.389740
id_143,33.508079
id_144,31.446360
id_145,13.227939
id_146,36.130141
id_147,46.391240
id_148,30.409156
id_149,14.384999
id_150,42.098974
id_151,40.875352
id_152,61.122506
id_153,23.474849
id_154,13.860079
id_155,63.797807
id_156,14.127381
id_157,25.016297
id_158,40.103410
id_159,22.077587
id_160,12.136062
id_161,97.418151
id_162,56.433325
id_163,36.215331
id_164,37.565015
id_165,36.368709
id_166,55.419251
id_167,57.350912
id_168,10.294133
id_169,22.379623
id_170,29.957538
id_171,28.371655
id_172,30.294687
id_173,40.470099
id_174,82.464519
id_175,53.965871
id_176,18.679591
id_177,20.090407
id_178,54.377714
id_179,28.714402
id_180,17.637867
id_181,27.384858
id_182,26.887965
id_183,27.250209
id_184,7.210961
id_185,34.324953
id_186,34.257340
id_187,45.975641
id_188,75.556301
id_189,57.837837
id_190,8.339337
id_191,23.411314
id_192,18.116421
id_193,29.812126
id_194,26.104643
id_195,15.877189
id_196,14.909950
id_197,15.623592
id_198,23.471577
id_199,12.985621
id_200,10.001813
id_201,30.116487
id_202,33.677730
id_203,69.194965
id_204,5.845197
id_205,17.722281
id_206,62.899312
id_207,50.920999
id_208,19.462888
id_209,28.310567
id_210,46.986785
id_211,33.142752
id_212,31.684687
id_213,10.298720
id_214,15.333336
id_215,4.251264
id_216,50.435762
id_217,9.178399
id_218,31.368651
id_219,91.434807
id_220,52.385745
id_221,18.645191
id_222,36.043380
id_223,87.318967
id_224,34.228374
id_225,14.712641
id_226,12.375865
id_227,45.893059
id_228,32.418119
id_229,31.569638
id_230,8.444968
id_231,29.910196
id_232,6.194924
id_233,33.290209
id_234,58.966480
id_235,22.571521
id_236,16.238425
id_237,15.204175
id_238,11.327348
id_239,29.471268
id_240,27.803227
id_241,74.127691
id_242,36.768036
id_243,33.530622
id_244,61.188924
id_245,44.097581
id_246,37.817414
id_247,46.597317
id_248,17.178434
id_249,4.412393
id_250,17.130596
id_251,38.504634
id_252,14.144822
id_253,26.246324
id_254,20.543525
id_255,32.409822
id_256,31.882229
id_257,3.024440
id_258,30.005933
id_259,40.964803
