id,value
id_0,37.059960
id_1,14.345660
id_2,8.996363
id_3,18.751519
id_4,27.093458
id_5,105.060069
id_6,30.153203
id_7,34.082079
id_8,40.684060
id_9,19.346031
id_10,25.078539
id_11,40.002771
id_12,41.242483
id_13,15.036436
id_14,25.472446
id_15,42.447274
id_16,34.291536
id_17,50.921939
id_18,22.396825
id_19,11.756001
id_20,28.295317
id_21,31.376528
id_22,50.744752
id_23,46.458103
id_24,19.241316
id_25,12.402929
id_26,43.433637
id_27,33.371262
id_28,59.926985
id_29,16.582211
id_30,17.627929
id_31,41.932273
id_32,34.123064
id_33,24.927186
id_34,52.324272
id_35,38.829327
id_36,14.266154
id_37,47.796134
id_38,22.811565
id_39,2.968192
id_40,24.835349
id_41,6.322180
id_42,44.171533
id_43,37.138410
id_44,47.641246
id_45,39.831174
id_46,35.804757
id_47,23.076506
id_48,23.941045
id_49,56.339620
id_50,22.424128
id_51,43.267488
id_52,21.010585
id_53,29.110675
id_54,17.317241
id_55,30.880336
id_56,39.761392
id_57,24.747726
id_58,28.012311
id_59,13.472271
id_60,57.246499
id_61,83.142711
id_62,34.140084
id_63,22.748338
id_64,16.734775
id_65,35.295551
id_66,35.191216
id_67,12.996968
id_68,46.992340
id_69,9.722766
id_70,14.408554
id_71,21.949729
id_72,30.284886
id_73,13.510922
id_74,47.927059
id_75,60.446375
id_76,4.592469
id_77,36.720084
id_78,71.611835
id_79,37.956633
id_80,51.043814
id_81,19.712705
id_82,14.375472
id_83,31.636847
id_84,13.371210
id_85,11.382020
id_86,29.217760
id_87,85.138409
id_88,27.237134
id_89,48.312950
id_90,18.056238
id_91,59.646101
id_92,54.440430
id_93,8.577256
id_94,21.294409
id_95,27.530125
id_96,24.977954
id_97,2.666115
id_98,16.601108
id_99,33.600284
id_100,20.387297
id_101,44.094402
id_102,31.868642
id_103,31.887911
id_104,32.751423
id_105,29.497095
id_106,19.257091
id_107,37.681276
id_108,10.598646
id_109,69.417811
id_110,29.977801
id_111,64.724623
id_112,20.505225
id_113,26.319012
id_114,24.936865
id_115,34.203463
id_116,37.310485
id_117,23.032995
id_118,27.906189
id_119,42.196897
id_120,24.906136
id_121,34.956554
id_122,62.897115
id_123,6.110249
id_124,33.713334
id_125,5.930368
id_126,32.246042
id_127,18.501736
id_128,28.479492
id_129,47.707935
id_130,7.961303
id_131,47.189020
id_132,21.749397
id_133,7.548066
id_134,20.377591
id_135,30.642489
id_136,61.146154
id_137,88.385641
id_138,25.970093
id_139,53.023095
id_140,74.908813
id_141,15.808292
id_142,40.852444
id_143,32.090978
id_144,31.544170
id_145,13.138214
id_146,32.839069
id_147,44.453251
id_148,31.228048
id_149,19.301594
id_150,40.493623
id_151,33.485796
id_152,55.937238
id_153,21.589286
id_154,13.219883
id_155,60.604753
id_156,14.588864
id_157,24.467488
id_158,41.202343
id_159,26.533480
id_160,12.808298
id_161,98.645221
id_162,59.094364
id_163,33.588997
id_164,36.178063
id_165,32.533656
id_166,40.924735
id_167,52.779074
id_168,14.658701
id_169,24.359303
id_170,30.750600
id_171,28.680577
id_172,27.368214
id_173,40.141485
id_174,84.014899
id_175,48.802814
id_176,18.675770
id_177,27.457861
id_178,55.693360
id_179,26.521837
id_180,16.788494
id_181,31.711633
id_182,21.126309
id_183,34.459765
id_184,12.407969
id_185,30.987820
id_186,34.514449
id_187,44.672592
id_188,71.471394
id_189,53.117665
id_190,8.132465
id_191,21.864956
id_192,18.295034
id_193,32.779072
id_194,25.678035
id_195,15.460168
id_196,13.174077
id_197,15.143920
id_198,24.088941
id_199,12.546409
id_200,10.638763
id_201,25.941530
id_202,19.405321
id_203,67.211177
id_204,1.498772
id_205,20.187644
id_206,58.548796
id_207,45.176570
id_208,22.129775
id_209,27.541432
id_210,41.814908
id_211,34.354600
id_212,33.004431
id_213,3.594388
id_214,14.750157
id_215,5.396856
id_216,47.216646
id_217,9.075642
id_218,34.043861
id_219,92.113463
id_220,49.644034
id_221,18.876669
id_222,36.833633
id_223,83.706960
id_224,30.332470
id_225,21.042501
id_226,13.947524
id_227,43.503625
id_228,35.072144
id_229,32.634637
id_230,10.883132
id_231,31.982892
id_232,2.738408
id_233,29.733846
id_234,55.821876
id_235,23.086681
id_236,15.636465
id_237,13.146400
id_238,16.334410
id_239,33.122335
id_240,25.157066
id_241,68.604779
id_242,35.732185
id_243,34.837334
id_244,53.813715
id_245,37.270026
id_246,41.260481
id_247,43.815885
id_248,20.936939
id_249,5.842260
id_250,14.919882
id_251,33.855322
id_252,14.109131
id_253,26.104057
id_254,19.937898
id_255,31.663176
id_256,37.874116
id_257,6.313041
id_258,29.747689
id_259,38.176135
