id,value
id_0,36.784296
id_1,13.777498
id_2,8.250436
id_3,17.131237
id_4,25.665749
id_5,101.270600
id_6,27.555110
id_7,35.269314
id_8,41.713087
id_9,21.282424
id_10,24.950969
id_11,38.890201
id_12,39.827738
id_13,15.077872
id_14,26.028260
id_15,39.348445
id_16,32.286355
id_17,50.780491
id_18,22.326686
id_19,11.445286
id_20,31.105830
id_21,32.625928
id_22,45.102893
id_23,44.209952
id_24,16.381646
id_25,14.358951
id_26,42.984561
id_27,30.999481
id_28,63.866999
id_29,18.613589
id_30,16.811679
id_31,45.111263
id_32,34.809841
id_33,33.694617
id_34,54.593553
id_35,38.510359
id_36,15.070155
id_37,47.437561
id_38,21.595408
id_39,1.885138
id_40,25.339830
id_41,9.718812
id_42,43.665602
id_43,31.239459
id_44,61.644392
id_45,39.130666
id_46,35.807323
id_47,22.470461
id_48,25.274696
id_49,64.756291
id_50,25.942050
id_51,46.887710
id_52,20.295008
id_53,31.440401
id_54,20.131890
id_55,41.412287
id_56,40.908696
id_57,28.232997
id_58,26.274194
id_59,14.106595
id_60,59.784329
id_61,84.485734
id_62,34.356331
id_63,25.195859
id_64,16.619476
id_65,41.301552
id_66,31.084114
id_67,11.646202
id_68,55.714319
id_69,6.457743
id_70,18.993635
id_71,21.521823
id_72,25.637239
id_73,17.783206
id_74,45.786704
id_75,63.939613
id_76,8.171647
id_77,37.646557
id_78,74.043612
id_79,43.741393
id_80,48.071418
id_81,22.227744
id_82,15.069033
id_83,42.810833
id_84,10.263012
id_85,9.840889
id_86,32.231232
id_87,85.619391
id_88,31.399137
id_89,46.168219
id_90,17.308130
id_91,64.848297
id_92,53.986966
id_93,8.463392
id_94,23.282988
id_95,27.619807
id_96,22.795836
id_97,6.612834
id_98,14.203392
id_99,39.346042
id_100,19.579921
id_101,46.812701
id_102,30.510779
id_103,37.022237
id_104,32.383788
id_105,22.950342
id_106,15.529357
id_107,39.131917
id_108,9.394304
id_109,71.807972
id_110,30.968200
id_111,63.835235
id_112,24.026535
id_113,23.505488
id_114,33.198198
id_115,33.399699
id_116,34.276893
id_117,22.913714
id_118,28.036519
id_119,48.143348
id_120,23.351398
id_121,31.912340
id_122,71.627138
id_123,4.885057
id_124,42.566667
id_125,5.334030
id_126,29.694998
id_127,16.850472
id_128,29.576991
id_129,46.162670
id_130,6.591272
id_131,46.814835
id_132,19.384471
id_133,7.319322
id_134,22.780172
id_135,30.337219
id_136,71.125204
id_137,88.816942
id_138,26.983706
id_139,52.570811
id_140,75.709549
id_141,19.231322
id_142,37.309829
id_143,32.682874
id_144,28.980682
id_145,14.148474
id_146,36.357011
id_147,46.114299
id_148,30.501180
id_149,15.272932
id_150,41.375902
id_151,36.614228
id_152,60.867322
id_153,24.196755
id_154,12.748167
id_155,63.925230
id_156,14.326742
id_157,26.493799
id_158,39.029402
id_159,23.126465
id_160,13.779321
id_161,96.522378
id_162,55.015278
id_163,36.447857
id_164,37.425453
id_165,33.380325
id_166,54.682179
id_167,57.638228
id_168,10.718211
id_169,22.193321
id_170,30.673398
id_171,28.925600
id_172,28.160134
id_173,38.874909
id_174,82.868484
id_175,54.955804
id_176,18.963344
id_177,19.788023
id_178,57.111309
id_179,27.060426
id_180,16.830448
id_181,26.021452
id_182,27.310716
id_183,27.177424
id_184,8.867701
id_185,31.129923
id_186,33.608227
id_187,47.029291
id_188,72.420027
id_189,56.990989
id_190,8.786495
id_191,23.790899
id_192,19.353750
id_193,29.589270
id_194,27.108238
id_195,16.512661
id_196,15.007829
id_197,15.460688
id_198,23.967337
id_199,13.648230
id_200,8.963636
id_201,30.489314
id_202,32.597297
id_203,67.018501
id_204,4.838313
id_205,18.604556
id_206,63.124747
id_207,49.295938
id_208,20.602568
id_209,29.387660
id_210,47.551078
id_211,34.323143
id_212,28.715330
id_213,6.606113
id_214,15.136640
id_215,5.232435
id_216,48.680136
id_217,9.547380
id_218,29.505194
id_219,88.496289
id_220,51.744380
id_221,19.143122
id_222,35.820838
id_223,83.490248
id_224,33.171608
id_225,14.530315
id_226,14.492780
id_227,44.678698
id_228,32.150814
id_229,30.684839
id_230,7.620051
id_231,30.628915
id_232,5.498859
id_233,34.123912
id_234,59.539296
id_235,22.660053
id_236,17.705629
id_237,16.890539
id_238,11.489715
id_239,29.101812
id_240,27.402941
id_241,73.702390
id_242,38.043238
id_243,31.752707
id_244,60.677687
id_245,42.240521
id_246,38.150506
id_247,45.813905
id_248,17.509286
id_249,4.378799
id_250,16.341341
id_251,39.662327
id_252,13.633769
id_253,25.564432
id_254,20.714759
id_255,31.944310
id_256,29.497896
id_257,4.019519
id_258,26.939415
id_259,40.723759
