id,value
id_0,-3.721554
id_1,-23.618503
id_2,-4.524767
id_3,-10.816870
id_4,42.721170
id_5,32.756272
id_6,-28.442208
id_7,6.801997
id_8,50.068442
id_9,-16.255308
id_10,4.401490
id_11,24.844035
id_12,31.583026
id_13,-22.568708
id_14,6.977654
id_15,18.685740
id_16,23.498659
id_17,46.514985
id_18,-15.081695
id_19,-10.809593
id_20,-14.007485
id_21,-2.793329
id_22,189.770681
id_23,4.987944
id_24,-13.960961
id_25,-21.235493
id_26,8.086396
id_27,24.174054
id_28,14.994078
id_29,-14.889113
id_30,-16.505969
id_31,14.488315
id_32,39.262782
id_33,15.909869
id_34,31.152339
id_35,1.989512
id_36,-26.581335
id_37,13.217127
id_38,-6.066938
id_39,-4.383392
id_40,-7.300174
id_41,-17.029268
id_42,1.932350
id_43,14.805151
id_44,50.254315
id_45,24.453107
id_46,29.305771
id_47,-36.917040
id_48,14.699455
id_49,50.127661
id_50,0.912069
id_51,18.347799
id_52,13.167380
id_53,12.718508
id_54,-19.307710
id_55,-3.497096
id_56,14.533159
id_57,-15.690415
id_58,11.733999
id_59,-31.889765
id_60,41.705034
id_61,40.320172
id_62,18.150583
id_63,-17.138108
id_64,2.187303
id_65,25.735301
id_66,48.367530
id_67,-18.785085
id_68,1.239126
id_69,-20.686230
id_70,-3.367612
id_71,33.799049
id_72,35.826157
id_73,-6.705365
id_74,22.782848
id_75,31.579167
id_76,16.843644
id_77,26.109788
id_78,38.056355
id_79,21.452867
id_80,42.553478
id_81,38.813157
id_82,-2.912393
id_83,37.148576
id_84,-0.744729
id_85,-13.063442
id_86,-9.761084
id_87,71.878018
id_88,-2.468269
id_89,21.429156
id_90,1.056353
id_91,23.864964
id_92,32.547519
id_93,-23.905477
id_94,-9.656712
id_95,33.485666
id_96,-2.777261
id_97,-6.346183
id_98,-30.472804
id_99,27.730340
id_100,-10.546583
id_101,37.403398
id_102,-8.528930
id_103,27.135949
id_104,-10.308322
id_105,25.430237
id_106,-1.975119
id_107,19.165296
id_108,-17.883312
id_109,51.674986
id_110,-12.200799
id_111,17.987399
id_112,3.494939
id_113,21.888927
id_114,36.048526
id_115,9.950024
id_116,29.129948
id_117,1.029057
id_118,22.684957
id_119,32.856227
id_120,8.391153
id_121,33.219038
id_122,57.035168
id_123,7.670424
id_124,49.979706
id_125,-29.725402
id_126,3.034156
id_127,-10.281026
id_128,19.268405
id_129,23.012317
id_130,-22.880194
id_131,35.448084
id_132,-27.232495
id_133,-1.021414
id_134,-15.716581
id_135,-10.393192
id_136,32.946345
id_137,63.096283
id_138,-5.432363
id_139,27.608855
id_140,72.027370
id_141,-21.907228
id_142,12.628954
id_143,2.962726
id_144,47.642275
id_145,-28.303169
id_146,16.841044
id_147,42.752105
id_148,-16.943113
id_149,-29.619589
id_150,-3.948342
id_151,-17.720256
id_152,24.046904
id_153,-5.399583
id_154,17.471589
id_155,30.670236
id_156,-8.548779
id_157,-14.471752
id_158,17.617787
id_159,-10.561189
id_160,-21.877917
id_161,39.491653
id_162,24.819670
id_163,32.239726
id_164,16.212171
id_165,25.988284
id_166,52.185732
id_167,25.434669
id_168,2.197004
id_169,13.029700
id_170,-4.385920
id_171,-25.211701
id_172,32.336203
id_173,39.936269
id_174,41.047558
id_175,4.089457
id_176,-16.133166
id_177,18.677319
id_178,22.788941
id_179,30.406079
id_180,-4.830717
id_181,40.894932
id_182,5.341587
id_183,33.830111
id_184,-3.050589
id_185,23.718231
id_186,30.060671
id_187,32.529562
id_188,21.400502
id_189,14.894618
id_190,-16.266311
id_191,9.131040
id_192,-13.116201
id_193,28.540835
id_194,-8.639378
id_195,-9.895401
id_196,-12.762085
id_197,-33.184272
id_198,-13.067653
id_199,-29.740380
id_200,-8.210110
id_201,19.717511
id_202,4.466590
id_203,74.083898
id_204,38.373540
id_205,-15.228477
id_206,74.785658
id_207,24.524602
id_208,58.567274
id_209,4.600116
id_210,-12.294356
id_211,-3.516474
id_212,50.145896
id_213,71.512628
id_214,14.346043
id_215,-23.123626
id_216,43.349306
id_217,-8.293957
id_218,4.392140
id_219,63.708058
id_220,19.740134
id_221,14.829534
id_222,11.109942
id_223,66.775115
id_224,11.343900
id_225,16.298429
id_226,-16.407924
id_227,18.912048
id_228,-0.610088
id_229,0.651159
id_230,-31.468376
id_231,-3.272689
id_232,-7.564314
id_233,6.030142
id_234,-4.660722
id_235,-7.517235
id_236,-26.614997
id_237,-25.141310
id_238,-23.045414
id_239,-24.409716
id_240,28.882610
id_241,36.719930
id_242,23.712013
id_243,5.704179
id_244,24.583322
id_245,17.553726
id_246,-7.481117
id_247,20.507522
id_248,4.040313
id_249,-27.858365
id_250,-12.216172
id_251,10.725662
id_252,-11.733762
id_253,-2.189437
id_254,0.890544
id_255,-6.176686
id_256,21.193106
id_257,-30.113242
id_258,37.394744
id_259,45.036551
