id,value
id_0,-9.426416
id_1,-25.051094
id_2,-4.519855
id_3,-8.968164
id_4,43.559828
id_5,37.933131
id_6,-27.345838
id_7,6.429000
id_8,52.990628
id_9,-23.613959
id_10,5.434499
id_11,26.188675
id_12,31.808497
id_13,-25.014368
id_14,4.581233
id_15,21.712883
id_16,29.085175
id_17,55.495389
id_18,-14.143938
id_19,-18.055784
id_20,-11.532936
id_21,-6.328717
id_22,212.631382
id_23,1.177626
id_24,-16.425254
id_25,-17.832476
id_26,8.965470
id_27,26.826474
id_28,16.232906
id_29,-18.945594
id_30,-19.574343
id_31,13.823594
id_32,38.472673
id_33,16.401953
id_34,33.294303
id_35,-4.718171
id_36,-30.287529
id_37,16.976582
id_38,-8.263064
id_39,-5.271470
id_40,-6.840578
id_41,-20.921610
id_42,2.949825
id_43,14.296967
id_44,63.519594
id_45,27.991449
id_46,29.978901
id_47,-34.562265
id_48,15.580889
id_49,57.799930
id_50,1.373221
id_51,18.920345
id_52,13.697007
id_53,6.308884
id_54,-19.130413
id_55,-2.603257
id_56,16.280376
id_57,-16.805431
id_58,11.422676
id_59,-34.140414
id_60,40.281750
id_61,40.742888
id_62,24.680755
id_63,-15.655022
id_64,-3.538392
id_65,23.567544
id_66,62.561274
id_67,-21.809345
id_68,2.501789
id_69,-24.674120
id_70,0.568747
id_71,36.019305
id_72,38.328607
id_73,-9.666404
id_74,25.236587
id_75,33.966461
id_76,18.146588
id_77,27.032614
id_78,39.267761
id_79,24.395058
id_80,46.801923
id_81,48.268974
id_82,-2.005261
id_83,51.088989
id_84,-3.097322
id_85,-15.301269
id_86,-9.156629
id_87,81.671576
id_88,-2.368135
id_89,24.753011
id_90,-5.252874
id_91,23.564032
id_92,34.317709
id_93,-28.247237
id_94,-9.709333
id_95,32.393076
id_96,-6.595960
id_97,-9.511059
id_98,-32.864518
id_99,29.814854
id_100,-13.064154
id_101,43.559662
id_102,-12.190456
id_103,26.707607
id_104,-9.718034
id_105,29.703340
id_106,-2.921002
id_107,20.514513
id_108,-21.255679
id_109,50.142365
id_110,-14.940100
id_111,22.075017
id_112,-2.432635
id_113,32.872372
id_114,33.392222
id_115,15.788643
id_116,30.472970
id_117,-5.437374
id_118,27.287505
id_119,40.608530
id_120,9.796444
id_121,36.712145
id_122,73.972057
id_123,6.312603
id_124,40.235459
id_125,-31.443255
id_126,3.379708
id_127,-16.830993
id_128,19.783094
id_129,16.836566
id_130,-25.041792
id_131,40.071766
id_132,-32.258320
id_133,-9.701861
id_134,-18.191745
id_135,-10.847423
id_136,36.715801
id_137,76.042406
id_138,-6.722799
id_139,31.930455
id_140,82.702057
id_141,-22.125606
id_142,10.627154
id_143,1.528908
id_144,49.619411
id_145,-30.291140
id_146,14.238747
id_147,48.315876
id_148,-18.182828
id_149,-32.181748
id_150,8.209082
id_151,-2.871195
id_152,27.982241
id_153,-2.912307
id_154,16.894868
id_155,35.966027
id_156,-14.960470
id_157,-19.592385
id_158,21.562402
id_159,-11.128765
id_160,-22.934551
id_161,41.514236
id_162,32.928740
id_163,37.493293
id_164,19.547793
id_165,29.413286
id_166,55.289039
id_167,29.434541
id_168,-0.876294
id_169,12.549694
id_170,-6.353138
id_171,-25.150954
id_172,25.506394
id_173,49.647945
id_174,46.262444
id_175,5.589667
id_176,-15.689885
id_177,24.260760
id_178,24.601573
id_179,37.261074
id_180,-3.324776
id_181,45.229700
id_182,3.951080
id_183,36.435802
id_184,-4.090276
id_185,23.699582
id_186,31.852412
id_187,30.054233
id_188,23.525685
id_189,16.052345
id_190,-21.398059
id_191,9.228001
id_192,-16.294167
id_193,26.891804
id_194,-5.252604
id_195,-12.607482
id_196,-16.247734
id_197,-32.207652
id_198,-13.665981
id_199,-28.808285
id_200,-8.727517
id_201,18.503782
id_202,10.346452
id_203,81.936708
id_204,39.588064
id_205,-17.925208
id_206,65.421651
id_207,25.977196
id_208,57.170369
id_209,-1.000861
id_210,-6.653422
id_211,-4.224056
id_212,58.921595
id_213,74.244808
id_214,18.860806
id_215,-27.033073
id_216,48.469556
id_217,-8.222617
id_218,5.718960
id_219,72.583558
id_220,20.603871
id_221,16.656491
id_222,6.758323
id_223,69.567856
id_224,7.288444
id_225,28.173399
id_226,-17.306479
id_227,16.106257
id_228,-3.304068
id_229,-3.848462
id_230,-33.713756
id_231,-4.858599
id_232,-7.245647
id_233,8.597982
id_234,-2.690448
id_235,-10.810409
id_236,-22.956157
id_237,-23.601594
id_238,-24.366209
id_239,-24.827957
id_240,28.688938
id_241,38.041372
id_242,19.515340
id_243,5.898525
id_244,21.668755
id_245,20.098350
id_246,-6.842481
id_247,18.966941
id_248,4.727313
id_249,-30.577113
id_250,-12.593416
id_251,11.435141
id_252,-12.157837
id_253,-3.494756
id_254,0.743740
id_255,-2.629940
id_256,27.162471
id_257,-30.561950
id_258,31.564527
id_259,46.869177
