id,value
id_0,38.891519
id_1,13.676514
id_2,6.337489
id_3,19.175302
id_4,29.881943
id_5,104.839396
id_6,28.343658
id_7,35.804152
id_8,43.258190
id_9,21.936574
id_10,25.145762
id_11,38.365282
id_12,39.414504
id_13,13.432812
id_14,25.456136
id_15,40.232338
id_16,32.438330
id_17,51.575239
id_18,22.055856
id_19,12.875259
id_20,30.548988
id_21,33.953746
id_22,42.142037
id_23,43.724161
id_24,14.359018
id_25,12.454482
id_26,43.565190
id_27,34.380617
id_28,60.210687
id_29,19.885634
id_30,15.620737
id_31,43.085839
id_32,36.374670
id_33,35.487070
id_34,53.758771
id_35,39.073864
id_36,14.834140
id_37,47.073771
id_38,24.205737
id_39,4.120895
id_40,26.427550
id_41,7.262013
id_42,43.928208
id_43,30.704656
id_44,54.863553
id_45,39.649760
id_46,40.749248
id_47,22.310119
id_48,23.135518
id_49,61.351043
id_50,26.662636
id_51,47.309063
id_52,17.979110
id_53,31.508254
id_54,18.259795
id_55,38.989758
id_56,40.665355
id_57,24.489121
id_58,22.933915
id_59,12.399596
id_60,61.000146
id_61,82.786566
id_62,29.400680
id_63,22.377798
id_64,18.638245
id_65,42.905541
id_66,32.294743
id_67,13.784872
id_68,54.218449
id_69,6.534429
id_70,17.516213
id_71,20.204288
id_72,23.182895
id_73,20.124421
id_74,47.475410
id_75,62.940275
id_76,9.045857
id_77,37.052688
id_78,69.700162
id_79,41.015385
id_80,48.900525
id_81,21.848525
id_82,9.501202
id_83,38.528792
id_84,12.499888
id_85,11.223583
id_86,31.968125
id_87,83.583477
id_88,29.272537
id_89,46.303572
id_90,18.055591
id_91,64.636515
id_92,54.006666
id_93,11.033653
id_94,21.528858
id_95,24.729118
id_96,23.414134
id_97,4.348174
id_98,15.014173
id_99,39.233401
id_100,20.353467
id_101,46.804834
id_102,32.783284
id_103,34.706686
id_104,31.358398
id_105,19.668871
id_106,15.648705
id_107,37.048727
id_108,9.948695
id_109,69.773665
id_110,31.294301
id_111,62.115551
id_112,23.355975
id_113,30.910715
id_114,30.934088
id_115,33.881595
id_116,36.885175
id_117,24.539207
id_118,28.607873
id_119,48.106320
id_120,24.742367
id_121,35.634105
id_122,67.776661
id_123,4.872454
id_124,37.116124
id_125,5.319552
id_126,29.643467
id_127,17.209470
id_128,29.862496
id_129,45.037938
id_130,7.621739
id_131,46.041377
id_132,18.649453
id_133,6.083283
id_134,22.667340
id_135,32.975353
id_136,72.938624
id_137,88.247176
id_138,28.609578
id_139,55.144468
id_140,75.420950
id_141,17.341373
id_142,36.063295
id_143,33.108135
id_144,28.498665
id_145,12.478071
id_146,39.571682
id_147,44.850066
id_148,30.806694
id_149,13.838753
id_150,39.133896
id_151,42.235366
id_152,60.119170
id_153,23.485452
id_154,14.574193
id_155,60.300856
id_156,15.071642
id_157,27.196319
id_158,40.853218
id_159,24.076866
id_160,14.199356
id_161,98.893805
id_162,55.789170
id_163,34.312365
id_164,37.951517
id_165,34.841191
id_166,54.204904
id_167,54.666082
id_168,8.190164
id_169,24.519568
id_170,26.458001
id_171,28.593439
id_172,31.644775
id_173,41.304083
id_174,82.404962
id_175,52.673687
id_176,20.865385
id_177,19.887053
id_178,57.926766
id_179,29.181962
id_180,17.140729
id_181,26.470003
id_182,24.781168
id_183,24.547141
id_184,8.470337
id_185,30.852774
id_186,33.792718
id_187,45.705491
id_188,72.929797
id_189,56.077377
id_190,9.880686
id_191,26.258104
id_192,20.852579
id_193,28.609283
id_194,25.819617
id_195,16.844311
id_196,17.507411
id_197,15.921540
id_198,23.476956
id_199,13.159791
id_200,8.349309
id_201,28.931176
id_202,30.721072
id_203,67.665667
id_204,2.584884
id_205,18.808164
id_206,67.473132
id_207,47.624249
id_208,20.766752
id_209,28.069630
id_210,47.196507
id_211,28.749674
id_212,31.307756
id_213,5.690491
id_214,15.677191
id_215,6.384409
id_216,50.576952
id_217,9.067523
id_218,29.197557
id_219,88.378638
id_220,53.426878
id_221,20.170203
id_222,35.663637
id_223,85.117756
id_224,34.568627
id_225,15.147049
id_226,15.336918
id_227,46.821200
id_228,31.042100
id_229,31.935615
id_230,10.427087
id_231,29.131381
id_232,2.869503
id_233,32.704532
id_234,57.577585
id_235,23.136792
id_236,16.999278
id_237,16.719633
id_238,14.110281
id_239,30.508845
id_240,26.055580
id_241,70.342543
id_242,34.702391
id_243,30.835137
id_244,60.801624
id_245,41.550159
id_246,38.188839
id_247,44.128238
id_248,15.412169
id_249,4.392796
id_250,13.984604
id_251,39.630116
id_252,14.077699
id_253,25.161801
id_254,21.288512
id_255,33.935209
id_256,34.639493
id_257,-3.432022
id_258,28.591491
id_259,42.000535
