id,value
id_0,37.557994
id_1,13.039895
id_2,7.002824
id_3,17.892614
id_4,25.406716
id_5,102.279699
id_6,27.627606
id_7,34.405035
id_8,41.287332
id_9,20.454095
id_10,26.477685
id_11,38.705158
id_12,36.290041
id_13,15.182944
id_14,24.739649
id_15,40.680157
id_16,32.478193
id_17,54.794876
id_18,21.991449
id_19,9.771004
id_20,31.010367
id_21,30.442479
id_22,26.317758
id_23,44.638503
id_24,16.679153
id_25,13.409350
id_26,44.203252
id_27,34.319436
id_28,60.925878
id_29,18.266708
id_30,16.223094
id_31,42.417234
id_32,35.714225
id_33,33.005691
id_34,54.287076
id_35,34.211580
id_36,14.152723
id_37,45.154466
id_38,23.851111
id_39,3.014748
id_40,26.663735
id_41,5.994263
id_42,44.089996
id_43,29.755250
id_44,60.653727
id_45,38.704800
id_46,39.160645
id_47,24.016076
id_48,23.728475
id_49,63.305341
id_50,26.536145
id_51,49.093455
id_52,20.309284
id_53,30.629985
id_54,19.613130
id_55,41.716803
id_56,38.755884
id_57,25.747805
id_58,23.688731
id_59,12.491165
id_60,59.882777
id_61,83.614692
id_62,31.463278
id_63,25.165978
id_64,14.959414
id_65,41.272708
id_66,38.022718
id_67,12.649947
id_68,54.265510
id_69,5.871875
id_70,20.078771
id_71,21.468041
id_72,21.618243
id_73,17.231797
id_74,48.199025
id_75,62.518534
id_76,8.407483
id_77,37.130252
id_78,67.704344
id_79,40.421111
id_80,47.359207
id_81,24.618737
id_82,14.804933
id_83,43.557900
id_84,11.232662
id_85,9.822911
id_86,34.238779
id_87,85.197707
id_88,31.143254
id_89,45.429986
id_90,17.404880
id_91,63.590632
id_92,53.006368
id_93,8.006611
id_94,21.755246
id_95,25.614847
id_96,21.047983
id_97,2.707980
id_98,14.234057
id_99,39.730060
id_100,20.626805
id_101,46.798494
id_102,31.498111
id_103,35.266778
id_104,32.251578
id_105,21.984362
id_106,19.679139
id_107,38.604929
id_108,7.375716
id_109,67.876394
id_110,31.015239
id_111,65.383984
id_112,23.507407
id_113,26.754611
id_114,31.458190
id_115,34.494397
id_116,36.734906
id_117,21.636692
id_118,28.528975
id_119,48.068873
id_120,24.337476
id_121,34.963391
id_122,72.884922
id_123,2.842447
id_124,37.853936
id_125,5.469539
id_126,27.610825
id_127,18.309531
id_128,25.580719
id_129,45.416443
id_130,6.507613
id_131,46.998790
id_132,18.292156
id_133,5.785463
id_134,23.043050
id_135,32.013214
id_136,69.966313
id_137,89.309933
id_138,26.484538
id_139,52.782884
id_140,75.639383
id_141,17.982280
id_142,36.218192
id_143,31.305794
id_144,27.238222
id_145,13.831508
id_146,37.303979
id_147,44.563785
id_148,30.669316
id_149,12.926425
id_150,42.007188
id_151,41.037111
id_152,61.881019
id_153,23.799224
id_154,12.277858
id_155,61.693413
id_156,12.289113
id_157,24.528229
id_158,40.766459
id_159,25.032193
id_160,13.889509
id_161,96.381686
id_162,53.888730
id_163,35.164190
id_164,37.232589
id_165,32.734537
id_166,56.422497
id_167,54.835660
id_168,9.062040
id_169,22.321513
id_170,29.623370
id_171,29.412614
id_172,28.676712
id_173,41.421024
id_174,82.709360
id_175,54.519952
id_176,19.572494
id_177,20.621410
id_178,53.842811
id_179,26.980438
id_180,16.727224
id_181,26.917318
id_182,26.876341
id_183,28.382738
id_184,7.108041
id_185,30.919950
id_186,34.985835
id_187,44.214951
id_188,71.209931
id_189,54.840177
id_190,7.769627
id_191,25.007044
id_192,19.944796
id_193,28.353086
id_194,26.464755
id_195,15.864501
id_196,15.831093
id_197,15.046840
id_198,23.445113
id_199,13.624523
id_200,10.654331
id_201,30.336974
id_202,32.175660
id_203,68.799949
id_204,3.070635
id_205,19.460069
id_206,66.098729
id_207,47.572897
id_208,18.373533
id_209,26.691985
id_210,49.087149
id_211,30.277602
id_212,31.111965
id_213,3.973288
id_214,15.652437
id_215,4.318184
id_216,50.337881
id_217,8.418317
id_218,29.334815
id_219,86.884768
id_220,50.644676
id_221,21.116622
id_222,35.842805
id_223,84.155215
id_224,32.100037
id_225,15.211493
id_226,13.840333
id_227,45.098695
id_228,30.750533
id_229,28.851765
id_230,8.300631
id_231,30.293812
id_232,4.324955
id_233,32.226765
id_234,59.667064
id_235,20.813833
id_236,16.286988
id_237,16.470731
id_238,11.443724
id_239,27.768167
id_240,25.582464
id_241,73.845937
id_242,32.868530
id_243,27.997442
id_244,58.662408
id_245,45.186230
id_246,37.508402
id_247,44.641232
id_248,16.347236
id_249,4.832547
id_250,15.803118
id_251,41.365619
id_252,11.784622
id_253,24.958149
id_254,20.693444
id_255,31.371954
id_256,35.910744
id_257,-1.414046
id_258,28.703663
id_259,41.039996
