id,value
id_0,37.997329
id_1,12.825106
id_2,7.276576
id_3,20.288958
id_4,27.435557
id_5,106.020332
id_6,27.406435
id_7,35.693445
id_8,41.317240
id_9,20.630355
id_10,26.965797
id_11,39.288998
id_12,36.790281
id_13,15.267155
id_14,25.223042
id_15,42.547468
id_16,31.644438
id_17,56.319188
id_18,23.111419
id_19,10.108705
id_20,31.360311
id_21,31.698649
id_22,33.682003
id_23,45.691185
id_24,15.372229
id_25,12.795769
id_26,45.345375
id_27,33.346752
id_28,61.379846
id_29,17.323200
id_30,13.987652
id_31,42.648114
id_32,36.475872
id_33,32.191648
id_34,55.764987
id_35,38.044720
id_36,14.669647
id_37,46.060570
id_38,23.919008
id_39,3.424396
id_40,25.783562
id_41,7.922721
id_42,45.129528
id_43,30.501958
id_44,59.118017
id_45,38.792238
id_46,35.759193
id_47,22.493153
id_48,25.088093
id_49,64.775916
id_50,27.282387
id_51,48.797266
id_52,20.728925
id_53,30.641257
id_54,19.707621
id_55,43.236613
id_56,38.962607
id_57,24.996117
id_58,23.390427
id_59,13.564295
id_60,61.472614
id_61,85.453506
id_62,31.955977
id_63,25.598089
id_64,15.573234
id_65,39.923486
id_66,31.375009
id_67,13.089876
id_68,55.930770
id_69,5.469296
id_70,21.260076
id_71,15.937625
id_72,22.763013
id_73,17.081693
id_74,49.463180
id_75,64.977106
id_76,6.460733
id_77,38.124189
id_78,70.843752
id_79,41.988683
id_80,49.433075
id_81,24.670851
id_82,11.198058
id_83,42.228383
id_84,10.127293
id_85,9.541260
id_86,35.473694
id_87,86.518995
id_88,32.217620
id_89,45.955604
id_90,16.351257
id_91,63.119305
id_92,54.836839
id_93,8.704744
id_94,22.782376
id_95,26.169985
id_96,21.458384
id_97,0.566185
id_98,14.505561
id_99,39.657729
id_100,21.205771
id_101,46.770568
id_102,33.162492
id_103,36.483267
id_104,31.513456
id_105,21.106770
id_106,17.500857
id_107,39.681719
id_108,8.756982
id_109,70.732331
id_110,31.404473
id_111,63.749528
id_112,24.065210
id_113,26.693170
id_114,33.150227
id_115,34.424650
id_116,35.426550
id_117,23.731294
id_118,28.187066
id_119,47.542339
id_120,25.373992
id_121,35.342753
id_122,73.233324
id_123,4.204495
id_124,40.413847
id_125,5.996856
id_126,29.758702
id_127,15.192739
id_128,24.807127
id_129,46.124859
id_130,6.595761
id_131,45.952283
id_132,17.865531
id_133,4.780988
id_134,23.469645
id_135,32.764197
id_136,70.466422
id_137,89.959721
id_138,26.839309
id_139,53.722009
id_140,77.233472
id_141,18.658365
id_142,32.210342
id_143,31.932036
id_144,25.988966
id_145,14.287945
id_146,38.075178
id_147,45.226312
id_148,32.434887
id_149,13.233538
id_150,41.403384
id_151,41.247202
id_152,62.798145
id_153,24.726941
id_154,11.553403
id_155,63.441318
id_156,11.379578
id_157,25.430160
id_158,41.360365
id_159,23.576504
id_160,14.466717
id_161,98.365261
id_162,54.851808
id_163,33.584220
id_164,37.751761
id_165,32.216344
id_166,57.711489
id_167,55.716457
id_168,10.687307
id_169,22.250441
id_170,30.694958
id_171,29.342607
id_172,28.031926
id_173,40.237836
id_174,82.385951
id_175,55.183329
id_176,19.547367
id_177,20.281602
id_178,53.842534
id_179,24.787470
id_180,16.334373
id_181,28.440728
id_182,26.249135
id_183,26.946172
id_184,7.708173
id_185,29.322946
id_186,35.385369
id_187,47.251419
id_188,72.800380
id_189,54.345035
id_190,8.156700
id_191,25.016643
id_192,21.309044
id_193,28.942038
id_194,26.056398
id_195,17.233085
id_196,15.563342
id_197,14.492531
id_198,25.743197
id_199,14.189486
id_200,8.066350
id_201,30.923033
id_202,33.172404
id_203,70.017641
id_204,2.385834
id_205,20.613213
id_206,64.685252
id_207,48.975539
id_208,16.930354
id_209,28.861119
id_210,49.523803
id_211,30.499428
id_212,30.248503
id_213,2.988513
id_214,12.830864
id_215,4.012677
id_216,51.875730
id_217,9.167929
id_218,29.834173
id_219,90.004453
id_220,51.194130
id_221,22.233039
id_222,36.687564
id_223,85.397503
id_224,34.568151
id_225,14.458367
id_226,12.413063
id_227,46.261867
id_228,31.912927
id_229,30.320942
id_230,8.419988
id_231,30.924070
id_232,2.036275
id_233,31.755522
id_234,59.512640
id_235,21.625360
id_236,16.859961
id_237,15.768052
id_238,13.314163
id_239,28.986012
id_240,25.292588
id_241,74.991511
id_242,34.600760
id_243,30.851519
id_244,60.903016
id_245,44.796790
id_246,38.073874
id_247,45.304288
id_248,16.152794
id_249,5.235291
id_250,16.633305
id_251,40.972578
id_252,12.480450
id_253,25.510193
id_254,20.934480
id_255,32.455303
id_256,34.448202
id_257,-3.318158
id_258,29.824464
id_259,41.123582
