id,value
id_0,34.356369
id_1,14.582800
id_2,6.883772
id_3,18.948724
id_4,26.205599
id_5,94.550416
id_6,28.410448
id_7,36.196023
id_8,29.392160
id_9,21.685799
id_10,29.239748
id_11,33.679165
id_12,38.482002
id_13,15.524658
id_14,26.395672
id_15,46.313486
id_16,26.494119
id_17,58.481790
id_18,23.619308
id_19,14.789891
id_20,31.155110
id_21,29.178806
id_22,36.068877
id_23,40.281346
id_24,11.781834
id_25,13.351626
id_26,42.178912
id_27,30.218344
id_28,56.596081
id_29,18.515373
id_30,17.877127
id_31,42.159823
id_32,34.366462
id_33,39.640693
id_34,52.582257
id_35,30.320774
id_36,14.842206
id_37,44.496248
id_38,23.760400
id_39,3.372655
id_40,31.051321
id_41,7.423424
id_42,49.994531
id_43,22.942943
id_44,65.522830
id_45,42.349668
id_46,40.602959
id_47,24.666922
id_48,24.068858
id_49,64.860426
id_50,25.660002
id_51,50.099284
id_52,22.091815
id_53,26.913498
id_54,22.738294
id_55,40.567805
id_56,44.606904
id_57,29.797420
id_58,22.365594
id_59,12.073140
id_60,65.824017
id_61,86.240561
id_62,39.041770
id_63,24.125732
id_64,12.134050
id_65,43.047642
id_66,23.364554
id_67,9.170586
id_68,57.781099
id_69,4.605880
id_70,20.251326
id_71,26.216694
id_72,24.373006
id_73,17.850233
id_74,56.547488
id_75,65.305241
id_76,9.188357
id_77,38.915711
id_78,78.213799
id_79,44.553669
id_80,59.668596
id_81,25.257701
id_82,12.798774
id_83,47.490478
id_84,10.058379
id_85,8.810821
id_86,30.416094
id_87,88.530709
id_88,30.471908
id_89,48.789675
id_90,12.334132
id_91,61.638985
id_92,54.268212
id_93,6.019485
id_94,25.997110
id_95,27.259508
id_96,23.154417
id_97,2.974352
id_98,14.811700
id_99,42.109335
id_100,24.693800
id_101,46.487361
id_102,26.041600
id_103,37.339189
id_104,32.051349
id_105,16.738488
id_106,16.921115
id_107,39.455946
id_108,11.128671
id_109,59.093376
id_110,28.219109
id_111,67.969973
id_112,25.662098
id_113,32.409925
id_114,32.380474
id_115,39.581583
id_116,40.532625
id_117,23.380616
id_118,29.342193
id_119,49.024328
id_120,26.681902
id_121,31.744811
id_122,83.551505
id_123,6.362114
id_124,43.092067
id_125,7.060035
id_126,30.116700
id_127,14.869751
id_128,26.330652
id_129,48.697252
id_130,7.438111
id_131,42.665993
id_132,19.631418
id_133,8.819810
id_134,23.240611
id_135,32.988423
id_136,70.454105
id_137,91.901415
id_138,26.081397
id_139,51.685030
id_140,81.738580
id_141,17.864708
id_142,36.713634
id_143,27.179620
id_144,26.493437
id_145,13.831200
id_146,33.676639
id_147,48.734046
id_148,30.117258
id_149,14.001257
id_150,33.082879
id_151,51.990903
id_152,59.327324
id_153,28.869078
id_154,9.989299
id_155,55.801115
id_156,13.544390
id_157,24.254268
id_158,40.670978
id_159,23.112284
id_160,16.535802
id_161,99.331277
id_162,62.747489
id_163,44.073524
id_164,36.788117
id_165,37.078540
id_166,56.575859
id_167,54.802331
id_168,12.843201
id_169,25.800248
id_170,29.912329
id_171,30.087380
id_172,32.055876
id_173,44.441218
id_174,75.784363
id_175,54.996571
id_176,20.491758
id_177,24.130466
id_178,47.023781
id_179,30.016601
id_180,15.413868
id_181,28.184372
id_182,24.149160
id_183,38.246240
id_184,8.820543
id_185,34.878712
id_186,33.678076
id_187,42.675989
id_188,68.014765
id_189,60.923623
id_190,9.670818
id_191,22.170373
id_192,20.718164
id_193,25.381989
id_194,26.409998
id_195,13.190181
id_196,13.870249
id_197,15.262393
id_198,25.397283
id_199,15.554792
id_200,12.035313
id_201,27.440209
id_202,38.360735
id_203,70.240886
id_204,8.215258
id_205,17.907723
id_206,44.147686
id_207,52.355005
id_208,11.981619
id_209,25.758633
id_210,49.222072
id_211,36.418624
id_212,32.871118
id_213,13.930446
id_214,22.631171
id_215,3.783992
id_216,56.837065
id_217,7.225548
id_218,32.788415
id_219,85.226192
id_220,50.266788
id_221,19.129365
id_222,36.180176
id_223,93.310172
id_224,34.175818
id_225,14.184649
id_226,14.199164
id_227,45.619801
id_228,32.784538
id_229,30.151556
id_230,3.054764
id_231,29.365559
id_232,9.188932
id_233,32.449431
id_234,59.991287
id_235,20.172711
id_236,17.729179
id_237,17.722488
id_238,12.548415
id_239,29.580722
id_240,30.455407
id_241,73.915637
id_242,25.757122
id_243,31.964790
id_244,62.015310
id_245,43.702423
id_246,41.545759
id_247,44.121924
id_248,14.855666
id_249,6.536487
id_250,12.270759
id_251,44.580604
id_252,17.248220
id_253,21.608075
id_254,17.934094
id_255,30.813175
id_256,37.063265
id_257,2.717041
id_258,32.137665
id_259,37.431803
