id,value
id_0,33.834456
id_1,14.795667
id_2,8.662121
id_3,17.955576
id_4,27.525343
id_5,94.720437
id_6,27.779918
id_7,38.404858
id_8,33.830034
id_9,20.752702
id_10,29.627771
id_11,35.075118
id_12,37.793813
id_13,17.319248
id_14,25.658254
id_15,46.518909
id_16,26.394048
id_17,56.703587
id_18,23.373633
id_19,15.974885
id_20,30.216337
id_21,29.245926
id_22,24.269157
id_23,43.134286
id_24,10.288171
id_25,13.301409
id_26,41.609138
id_27,27.740220
id_28,58.597075
id_29,18.301619
id_30,18.197027
id_31,39.652309
id_32,33.939106
id_33,39.639610
id_34,54.696846
id_35,27.923869
id_36,14.119522
id_37,45.273404
id_38,22.712390
id_39,5.783291
id_40,28.957485
id_41,8.689876
id_42,48.639721
id_43,26.442124
id_44,65.983331
id_45,42.471832
id_46,37.595828
id_47,23.433905
id_48,26.043573
id_49,66.242858
id_50,26.543009
id_51,52.297087
id_52,21.803654
id_53,27.677325
id_54,21.627843
id_55,40.736428
id_56,41.665218
id_57,27.568980
id_58,17.654107
id_59,12.751896
id_60,63.007818
id_61,82.897502
id_62,39.708267
id_63,24.128022
id_64,15.026203
id_65,40.903662
id_66,21.406753
id_67,10.137563
id_68,57.385906
id_69,6.852298
id_70,21.383194
id_71,31.592406
id_72,24.370094
id_73,18.415864
id_74,55.683585
id_75,63.987629
id_76,5.885563
id_77,39.352011
id_78,74.905475
id_79,41.844615
id_80,57.254169
id_81,23.822095
id_82,12.392778
id_83,49.722251
id_84,14.475073
id_85,8.466746
id_86,29.279117
id_87,86.926076
id_88,28.899985
id_89,46.278992
id_90,15.848445
id_91,61.497364
id_92,55.109265
id_93,7.063360
id_94,23.643990
id_95,28.276899
id_96,22.834768
id_97,6.188356
id_98,15.371647
id_99,44.883254
id_100,25.898917
id_101,47.955961
id_102,30.099206
id_103,36.993138
id_104,30.000534
id_105,20.790929
id_106,16.165645
id_107,37.876498
id_108,11.099698
id_109,58.535786
id_110,30.701740
id_111,64.200077
id_112,23.837157
id_113,31.341702
id_114,33.005991
id_115,38.180938
id_116,41.329751
id_117,20.377705
id_118,28.331883
id_119,48.319838
id_120,26.953216
id_121,35.090962
id_122,80.501172
id_123,4.736864
id_124,42.765972
id_125,7.297976
id_126,30.346829
id_127,15.359151
id_128,28.258823
id_129,47.816535
id_130,7.261700
id_131,42.951452
id_132,19.424958
id_133,8.008984
id_134,26.377775
id_135,30.761453
id_136,71.008346
id_137,95.514453
id_138,27.008367
id_139,54.395078
id_140,82.155878
id_141,17.533713
id_142,39.459879
id_143,27.837552
id_144,23.853102
id_145,13.884570
id_146,39.062363
id_147,47.737445
id_148,29.292270
id_149,14.144213
id_150,38.247465
id_151,40.721792
id_152,62.894184
id_153,29.842752
id_154,10.583995
id_155,58.972790
id_156,13.490313
id_157,24.019792
id_158,39.714565
id_159,23.041177
id_160,17.608061
id_161,100.955987
id_162,61.543084
id_163,41.993355
id_164,38.981249
id_165,34.278679
id_166,55.938526
id_167,55.167985
id_168,11.766155
id_169,25.325744
id_170,27.188409
id_171,31.886853
id_172,31.845849
id_173,43.292690
id_174,75.597029
id_175,55.408903
id_176,19.290775
id_177,23.642683
id_178,47.481502
id_179,25.436519
id_180,15.992597
id_181,28.088781
id_182,25.249014
id_183,35.500610
id_184,8.633501
id_185,35.008765
id_186,32.973701
id_187,44.709608
id_188,62.680040
id_189,61.992863
id_190,7.908769
id_191,21.255792
id_192,19.996442
id_193,25.111603
id_194,24.421739
id_195,13.337335
id_196,14.407580
id_197,15.200755
id_198,25.832188
id_199,16.055993
id_200,9.609094
id_201,27.478391
id_202,35.496698
id_203,67.944908
id_204,6.832417
id_205,18.427956
id_206,58.062277
id_207,51.665738
id_208,11.811014
id_209,26.980169
id_210,48.654339
id_211,36.366300
id_212,31.398200
id_213,12.117117
id_214,17.913381
id_215,4.457978
id_216,58.143413
id_217,7.438624
id_218,32.625632
id_219,87.146507
id_220,51.832474
id_221,21.347267
id_222,35.191523
id_223,97.371821
id_224,37.276775
id_225,13.285550
id_226,14.552010
id_227,46.114759
id_228,32.892864
id_229,30.677635
id_230,3.340187
id_231,29.568568
id_232,7.891361
id_233,31.554486
id_234,59.300795
id_235,19.761197
id_236,17.185368
id_237,19.216602
id_238,14.229172
id_239,29.714648
id_240,31.282489
id_241,74.267945
id_242,24.802896
id_243,30.879299
id_244,65.002836
id_245,43.375527
id_246,41.948413
id_247,44.829836
id_248,13.855158
id_249,6.451121
id_250,13.197262
id_251,44.809320
id_252,15.997161
id_253,20.255108
id_254,19.367481
id_255,30.980261
id_256,37.753953
id_257,2.582653
id_258,29.958599
id_259,37.737226
