id,value
id_0,-5.950684
id_1,-26.003847
id_2,-3.069103
id_3,-6.223650
id_4,38.444683
id_5,44.198078
id_6,-22.947098
id_7,11.757600
id_8,51.020977
id_9,-16.354648
id_10,9.038052
id_11,25.484392
id_12,40.331194
id_13,-23.678927
id_14,6.698806
id_15,24.741464
id_16,21.137487
id_17,51.390275
id_18,-15.609786
id_19,-12.912372
id_20,-12.851616
id_21,-5.838691
id_22,214.430846
id_23,6.461337
id_24,-16.778612
id_25,-16.760700
id_26,6.774734
id_27,25.317219
id_28,15.847341
id_29,-15.089205
id_30,-18.307037
id_31,14.194908
id_32,44.781026
id_33,14.833436
id_34,33.738509
id_35,4.225588
id_36,-26.453845
id_37,18.739085
id_38,-9.510288
id_39,-5.741923
id_40,-4.591825
id_41,-21.751074
id_42,5.447102
id_43,20.613670
id_44,47.463667
id_45,28.515530
id_46,36.538835
id_47,-31.147972
id_48,16.452683
id_49,49.704379
id_50,-1.418915
id_51,17.951718
id_52,13.012999
id_53,12.390303
id_54,-19.024038
id_55,-5.301604
id_56,12.540294
id_57,-18.922243
id_58,11.254903
id_59,-34.051773
id_60,43.353216
id_61,43.948143
id_62,16.130706
id_63,-17.868957
id_64,7.524222
id_65,22.776590
id_66,50.215300
id_67,-17.950014
id_68,2.689263
id_69,-20.645003
id_70,-5.246422
id_71,32.480700
id_72,38.297951
id_73,-8.418155
id_74,28.669058
id_75,33.060322
id_76,7.922180
id_77,24.627267
id_78,47.347639
id_79,24.231512
id_80,53.121760
id_81,39.255650
id_82,-5.492149
id_83,30.897012
id_84,0.839630
id_85,-14.067168
id_86,-7.739669
id_87,83.323835
id_88,-0.313365
id_89,20.733659
id_90,1.647387
id_91,22.109358
id_92,41.501124
id_93,-24.027600
id_94,-10.967604
id_95,33.618915
id_96,-5.545282
id_97,-9.121220
id_98,-30.160850
id_99,26.244436
id_100,-7.372061
id_101,44.761066
id_102,-13.735752
id_103,30.184481
id_104,-10.662442
id_105,24.408515
id_106,-3.421367
id_107,22.926009
id_108,-17.443149
id_109,56.563190
id_110,-14.883223
id_111,23.739617
id_112,1.162839
id_113,22.918720
id_114,34.989967
id_115,17.465820
id_116,29.510195
id_117,2.281807
id_118,25.108138
id_119,35.596126
id_120,5.368564
id_121,37.240287
id_122,59.258507
id_123,8.885151
id_124,43.709974
id_125,-31.284072
id_126,9.836567
id_127,-12.157216
id_128,19.787380
id_129,26.490872
id_130,-22.989849
id_131,39.980227
id_132,-30.449913
id_133,-12.024558
id_134,-17.633403
id_135,-4.577378
id_136,34.166153
id_137,65.556280
id_138,-5.047446
id_139,29.303088
id_140,76.274904
id_141,-24.736343
id_142,11.067564
id_143,-0.539555
id_144,52.748898
id_145,-30.076314
id_146,20.888036
id_147,43.798324
id_148,-16.417199
id_149,-29.807677
id_150,4.675188
id_151,-14.965624
id_152,22.923232
id_153,-5.754670
id_154,12.466583
id_155,30.841682
id_156,-9.259929
id_157,-17.552302
id_158,26.956484
id_159,-10.060731
id_160,-22.515303
id_161,46.794608
id_162,33.323062
id_163,36.132865
id_164,21.657682
id_165,30.642290
id_166,54.342647
id_167,29.036630
id_168,4.359873
id_169,15.580823
id_170,-5.646101
id_171,-24.001736
id_172,31.916163
id_173,36.508313
id_174,46.417714
id_175,6.246713
id_176,-18.427538
id_177,20.071625
id_178,20.639465
id_179,30.875407
id_180,-7.703506
id_181,44.321945
id_182,8.428583
id_183,36.754845
id_184,1.412537
id_185,25.079701
id_186,31.039267
id_187,35.305518
id_188,24.122005
id_189,24.550042
id_190,-17.355486
id_191,8.567550
id_192,-13.788110
id_193,31.433774
id_194,-11.212136
id_195,-9.038513
id_196,-14.744883
id_197,-27.525270
id_198,-12.191002
id_199,-27.834334
id_200,-10.347589
id_201,13.961675
id_202,5.068490
id_203,77.677629
id_204,38.446521
id_205,-13.926117
id_206,54.715475
id_207,30.046367
id_208,59.676974
id_209,3.587730
id_210,-7.383997
id_211,-3.865369
id_212,53.003346
id_213,65.613481
id_214,12.455543
id_215,-22.920864
id_216,48.107338
id_217,-7.152141
id_218,7.191277
id_219,70.759757
id_220,18.814502
id_221,15.246050
id_222,16.309876
id_223,76.192727
id_224,12.218706
id_225,21.425200
id_226,-14.468873
id_227,23.574465
id_228,3.251453
id_229,-0.214191
id_230,-29.594609
id_231,-4.870512
id_232,-11.220999
id_233,8.439724
id_234,-1.882083
id_235,-6.093004
id_236,-26.705301
id_237,-22.427066
id_238,-21.696967
id_239,-22.909567
id_240,31.831541
id_241,39.172912
id_242,25.936359
id_243,11.586834
id_244,27.492977
id_245,24.674548
id_246,-4.477533
id_247,22.528769
id_248,7.382129
id_249,-30.006178
id_250,-13.474329
id_251,12.031843
id_252,-10.431493
id_253,-3.724583
id_254,-0.997820
id_255,-3.539389
id_256,29.286304
id_257,-37.634689
id_258,40.705725
id_259,40.533619
